BLS_YEAR;NUM_PART;SIGLA_PARTIDO;NOME_PARTIDO;IDEOLOGY;IDEO_IMPUTED;CRITERIA;ANO_ELEICAO
1993;11;PPR;PARTIDO PROGRESSISTA REFORMADOR;0.76569363;0.76569363;MP;1994
1993;12;PDT;PARTIDO DEMOCRATICO TRABALHISTA;-0.421099406;-0.421099406;MP;1994
1993;13;PT;PARTIDO DOS TRABALHADORES;-0.805457656;-0.805457656;MP;1994
1993;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;0.512543011;0.512543011;MP;1994
1993;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO;0.007321124;0.007321124;MP;1994
1993;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;-0.800189198;-0.800189198;MP;1994
1993;17;PTRB;PARTIDO TRABALHISTA RENOVADOR BRASILEIRO;NA;0.59212327;AVERAGE PTB + PL/PR;1994
1993;20;PSC;PARTIDO SOCIAL CRISTAO;NA;0.59212327;AVERAGE PTB + PL/PR;1994
1993;21;PCB;PARTIDO COMUNISTA BRASILEIRO;NA;-0.92115574;HL;1994
1993;22;PL;PARTIDO LIBERAL;0.671703529;0.671703529;MP;1994
1993;23;PPS;PARTIDO POPULAR SOCIALISTA;-0.572658459;-0.572658459;MP;1994
1993;25;PFL;PARTIDO DA FRENTE LIBERAL;0.700952983;0.700952983;MP;1994
1993;33;PMN;PARTIDO DA MOBILIZACAO NACIONAL;NA;0.59212327;AVERAGE PTB + PL/PR;1994
1993;36;PRN;PARTIDO DA RECONSTRUCAO NACIONAL;0.902939244;0.902939244;MP;1994
1993;39;PP;PARTIDO PROGRESSISTA;0.36918034;0.36918034;MP;1994
1993;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;-0.719417051;-0.719417051;MP;1994
1993;41;PSD;PARTIDO SOCIAL DEMOCRATICO;NA;0.59212327;AVERAGE PTB + PL/PR;1994
1993;43;PV;PARTIDO VERDE;NA;-0.5702582285;AVERAGE PDT + PSB;1994
1993;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;NA;0.59212327;AVERAGE PTB + PL/PR;1994
1993;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;-0.196240679;-0.196240679;MP;1994
1993;56;PRONA;PARTIDO DA REEDIFICACAO DA ORDEM NACIONAL;NA;0.59212327;AVERAGE PTB + PL/PR;1994
1993;65;PC DO B;PARTIDO COMUNISTA DO BRASIL;-0.92115574;-0.92115574;MP;1994
1993;70;PT DO B;PARTIDO TRABALHISTA DO BRASIL;NA;0.59212327;AVERAGE PTB + PL/PR;1994
1997;11;PPB;PARTIDO PROGRESSISTA BRASILEIRO;0.864570472;0.864570472;MP;1996
1997;12;PDT;PARTIDO DEMOCRATICO TRABALHISTA;-0.517798045;-0.517798045;MP;1996
1997;13;PT;PARTIDO DOS TRABALHADORES;-0.856681662;-0.856681662;MP;1996
1997;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;0.58668474;0.58668474;MP;1996
1997;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO;0.083317546;0.083317546;MP;1996
1997;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;NA;-0.941994211;HL;1996
1997;17;PSL;PARTIDO SOCIAL LIBERAL;NA;0.6143010825;AVERAGE PTB + PL/PR;1996
1997;18;PST;PARTIDO SOCIAL TRABALHISTA;NA;0.6143010825;AVERAGE PTB + PL/PR;1996
1997;19;PTN;PARTIDO TRABALHISTA NACIONAL;NA;0.6143010825;AVERAGE PTB + PL/PR;1996
1997;20;PSC;PARTIDO SOCIAL CRISTAO;NA;0.6143010825;AVERAGE PTB + PL/PR;1996
1997;21;PCB;PARTIDO COMUNISTA BRASILEIRO;NA;-0.941994211;HL;1996
1997;22;PL;PARTIDO LIBERAL;0.641917425;0.641917425;MP;1996
