Cod_setor;Cod_Grandes Regiões;Nome_Grande_Regiao;Cod_UF;Nome_da_UF ;Cod_meso;Nome_da_meso;Cod_micro;Nome_da_micro;Cod_RM;Nome_da_RM;Cod_municipio;Nome_do_municipio;Cod_distrito;Nome_do_distrito;Cod_subdistrito;Nome_do_subdistrito;Cod_bairro;Nome_do_bairro;Situacao_setor;Tipo_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012
510010205000001;5;"Região Centro-Oeste";51;"Mato Grosso";5104;"Centro-Sul Mato-Grossense";51016;"Rosário Oeste";35;"RM Vale do Rio Cuiabá ";5100102;"ACORIZAL";510010205;"ACORIZAL";51001020500;"ACORIZAL";5100102000;"ACORIZAL (todos os setores)";1;0;289;987;3,42;3,05;740,76;545806,02;820,23;539151,26;429,2;436623,67;803,3;516862,5
510010205000002;5;"Região Centro-Oeste";51;"Mato Grosso";5104;"Centro-Sul Mato-Grossense";51016;"Rosário Oeste";35;"RM Vale do Rio Cuiabá ";5100102;"ACORIZAL";510010205;"ACORIZAL";51001020500;"ACORIZAL";5100102000;"ACORIZAL (todos os setores)";1;0;242;856;3,54;2,34;1053,74;1678212,64;1123,37;1711031,65;542,21;900391,88;907,58;1176187,17
510010205000003;5;"Região Centro-Oeste";51;"Mato Grosso";5104;"Centro-Sul Mato-Grossense";51016;"Rosário Oeste";35;"RM Vale do Rio Cuiabá ";5100102;"ACORIZAL";510010205;"ACORIZAL";51001020500;"ACORIZAL";5100102000;"ACORIZAL (todos os setores)";1;0;154;437;2,84;2,62;1086,1;8356928,51;1122,55;8598067,78;599,52;3571125,68;853,59;4872502,32
510010205000004;5;"Região Centro-Oeste";51;"Mato Grosso";5104;"Centro-Sul Mato-Grossense";51016;"Rosário Oeste";35;"RM Vale do Rio Cuiabá ";5100102;"ACORIZAL";510010205;"ACORIZAL";51001020500;"ACORIZAL";5100102000;"ACORIZAL (todos os setores)";8;0;50;171;3,42;2,37;371,64;71836,52;453,22;50101,98;223,13;75353,31;384,71;67669,58
510010205000005;5;"Região Centro-Oeste";51;"Mato Grosso";5104;"Centro-Sul Mato-Grossense";51016;"Rosário Oeste";35;"RM Vale do Rio Cuiabá ";5100102;"ACORIZAL";510010205;"ACORIZAL";51001020500;"ACORIZAL";5100102000;"ACORIZAL (todos os setores)";8;0;188;502;2,67;2,56;355,44;214554,45;636,41;205255,34;218,15;143902,14;580,83;172665,94
510010205000006;5;"Região Centro-Oeste";51;"Mato Grosso";5104;"Centro-Sul Mato-Grossense";51016;"Rosário Oeste";35;"RM Vale do Rio Cuiabá ";5100102;"ACORIZAL";510010205;"ACORIZAL";51001020500;"ACORIZAL";5100102000;"ACORIZAL (todos os setores)";8;0;109;364;3,34;3,43;522,72;148713,82;633,07;109817,19;281,55;140733,93;557,54;124708,74
510010205000007;5;"Região Centro-Oeste";51;"Mato Grosso";5104;"Centro-Sul Mato-Grossense";51016;"Rosário Oeste";35;"RM Vale do Rio Cuiabá ";5100102;"ACORIZAL";510010205;"ACORIZAL";51001020500;"ACORIZAL";5100102000;"ACORIZAL (todos os setores)";8;0;158;531;3,36;3,56;419,52;115756,75;538,89;84107,67;247,28;97180,14;473,96;78745,25
510010207000001;5;"Região Centro-Oeste";51;"Mato Grosso";5104;"Centro-Sul Mato-Grossense";51016;"Rosário Oeste";35;"RM Vale do Rio Cuiabá ";5100102;"ACORIZAL";510010207;"BAÚS";51001020700;"BAÚS";5100102000;"ACORIZAL (todos os setores)";1;0;107;318;2,97;2,71;815,53;1206617,25;839,06;1221830,99;471,11;656714,96;702,8;817737,09
510010207000002;5;"Região Centro-Oeste";51;"Mato Grosso";5104;"Centro-Sul Mato-Grossense";51016;"Rosário Oeste";35;"RM Vale do Rio Cuiabá ";5100102;"ACORIZAL";510010207;"BAÚS";51001020700;"BAÚS";5100102000;"ACORIZAL (todos os setores)";8;0;85;268;3,15;2,77;642,07;491680,61;649,71;492578,42;335,08;267089,48;536,13;319918,82
510010207000003;5;"Região Centro-Oeste";51;"Mato Grosso";5104;"Centro-Sul Mato-Grossense";51016;"Rosário Oeste";35;"RM Vale do Rio Cuiabá ";5100102;"ACORIZAL";510010207;"BAÚS";51001020700;"BAÚS";5100102000;"ACORIZAL (todos os setores)";8;0;79;230;2,91;2,44;317,95;213729,13;448,54;243469,16;188,34;114791,01;369,36;158687,94
