Cidade,X,Y,Average
"Alta Floresta D'Oeste (RO)","Total","Total","558.96"
"Ariquemes (RO)","Total","Total","810.00"
"Cabixi (RO)","Total","Total","532.80"
"Cacoal (RO)","Total","Total","850.19"
"Cerejeiras (RO)","Total","Total","653.45"
"Colorado do Oeste (RO)","Total","Total","597.27"
"Corumbiara (RO)","Total","Total","486.66"
"Costa Marques (RO)","Total","Total","449.90"
"Espigão D'Oeste (RO)","Total","Total","686.39"
"Guajará-Mirim (RO)","Total","Total","588.54"
"Jaru (RO)","Total","Total","668.83"
"Ji-Paraná (RO)","Total","Total","845.34"
"Machadinho D'Oeste (RO)","Total","Total","488.09"
"Nova Brasilândia D'Oeste (RO)","Total","Total","576.13"
"Ouro Preto do Oeste (RO)","Total","Total","667.71"
"Pimenta Bueno (RO)","Total","Total","857.27"
"Porto Velho (RO)","Total","Total","1052.94"
"Presidente Médici (RO)","Total","Total","612.23"
"Rio Crespo (RO)","Total","Total","509.92"
"Rolim de Moura (RO)","Total","Total","749.61"
"Santa Luzia D'Oeste (RO)","Total","Total","553.80"
"Vilhena (RO)","Total","Total","907.40"
"São Miguel do Guaporé (RO)","Total","Total","525.34"
"Nova Mamoré (RO)","Total","Total","464.52"
"Alvorada D'Oeste (RO)","Total","Total","555.92"
"Alto Alegre dos Parecis (RO)","Total","Total","409.88"
"Alto Paraíso (RO)","Total","Total","605.49"
"Buritis (RO)","Total","Total","548.78"
"Novo Horizonte do Oeste (RO)","Total","Total","393.50"
"Cacaulândia (RO)","Total","Total","607.94"
"Campo Novo de Rondônia (RO)","Total","Total","633.69"
"Candeias do Jamari (RO)","Total","Total","629.91"
"Castanheiras (RO)","Total","Total","536.37"
"Chupinguaia (RO)","Total","Total","592.01"
"Cujubim (RO)","Total","Total","627.56"
"Governador Jorge Teixeira (RO)","Total","Total","466.18"
"Itapuã do Oeste (RO)","Total","Total","511.02"
"Ministro Andreazza (RO)","Total","Total","525.86"
"Mirante da Serra (RO)","Total","Total","623.01"
"Monte Negro (RO)","Total","Total","538.48"
"Nova União (RO)","Total","Total","421.89"
"Parecis (RO)","Total","Total","437.56"
"Pimenteiras do Oeste (RO)","Total","Total","617.87"
"Primavera de Rondônia (RO)","Total","Total","519.02"
"São Felipe D'Oeste (RO)","Total","Total","433.74"
"São Francisco do Guaporé (RO)","Total","Total","568.51"
"Seringueiras (RO)","Total","Total","529.31"
"Teixeirópolis (RO)","Total","Total","543.81"
"Theobroma (RO)","Total","Total","451.64"
"Urupá (RO)","Total","Total","448.08"
"Vale do Anari (RO)","Total","Total","480.69"
"Vale do Paraíso (RO)","Total","Total","501.39"
"Acrelândia (AC)","Total","Total","374.52"
"Assis Brasil (AC)","Total","Total","375.35"
"Brasiléia (AC)","Total","Total","416.79"
"Bujari (AC)","Total","Total","422.29"
"Capixaba (AC)","Total","Total","428.93"
"Cruzeiro do Sul (AC)","Total","Total","566.02"
"Epitaciolândia (AC)","Total","Total","573.97"
"Feijó (AC)","Total","Total","335.12"
"Jordão (AC)","Total","Total","267.45"
"Mâncio Lima (AC)","Total","Total","390.84"
"Manoel Urbano (AC)","Total","Total","413.07"
"Marechal Thaumaturgo (AC)","Total","Total","232.80"
"Plácido de Castro (AC)","Total","Total","398.25"
"Porto Walter (AC)","Total","Total","307.82"
"Rio Branco (AC)","Total","Total","859.46"
"Rodrigues Alves (AC)","Total","Total","252.60"
"Santa Rosa do Purus (AC)","Total","Total","311.42"
"Senador Guiomard (AC)","Total","Total","568.83"
"Sena Madureira (AC)","Total","Total","406.43"
"Tarauacá (AC)","Total","Total","346.07"
