"city","voto_obrig"
"1100015",13868
"1100023",53868
"1100031",3570
"1100049",48140
"1100056",10039
"1100064",10807
"1100072",4977
"1100080",7064
"1100098",16892
"1100106",22481
"1100114",29988
"1100122",71047
"1100130",16607
"1100148",11293
"1100155",22365
"1100189",20302
"1100205",265751
"1100254",13027
"1100262",1840
"1100288",30409
"1100296",5123
"1100304",46920
"1100320",12076
"1100338",11676
"1100346",9264
"1100379",6716
"1100403",9238
"1100452",17840
"1100502",5647
"1100601",3092
"1100700",6824
"1100809",10576
"1100908",1980
"1100924",4608
"1100940",8208
"1101005",5646
"1101104",4437
"1101203",5679
"1101302",6375
"1101401",7459
"1101435",3964
"1101450",2542
"1101468",1282
"1101476",1870
"1101484",3326
"1101492",8866
"1101500",6292
"1101559",2764
"1101609",5660
"1101708",7135
"1101757",4943
"1101807",4582
"1200013",5989
"1200054",2683
"1200104",9977
"1200138",3604
"1200179",3710
"1200203",34640
"1200252",7375
"1200302",9948
"1200328",1999
"1200336",5997
"1200344",2758
"1200351",3906
"1200385",7779
"1200393",2531
"1200401",190582
"1200427",4560
"1200435",1444
"1200450",9656
"1200500",15788
"1200609",11411
"1200708",7110
"1200807",6416
"1300029",4631
"1300060",3639
"1300086",4602
"1300102",7177
"1300144",9780
"1300201",4689
"1300300",13815
"1300409",10774
"1300508",11675
"1300607",13030
"1300631",5086
"1300680",6877
"1300706",12019
"1300805",14732
"1300839",4919
"1300904",5359
"1301001",9133
"1301100",15538
"1301159",10990
"1301209",33433
"1301308",10034
"1301407",10469
"1301506",5234
"1301605",8575
"1301654",4271
"1301704",20236
"1301803",6205
"1301852",19113
"1301902",43511
"1301951",2317
"1302009",4168
"1302108",2557
"1302207",3379
"1302306",5497
"1302405",13556
"1302504",38375
"1302553",10376
"1302603",1102331
"1302702",20249
"1302801",6378
"1302900",23614
"1303007",8779
"1303106",14339
"1303205",6593
"1303304",9178
"1303403",50528
"1303502",6174
"1303536",14348
"1303569",13321
"1303601",5261
"1303700",8923
"1303809",16732
"1303908",11669
"1303957",4847
"1304005",4030
"1304062",23702
"1304104",6472
"1304203",27540
"1304237",6670
"1304260",4677
"1304302",7842
"1304401",8340
"1400027",2764
"1400050",4909
"1400100",166546
"1400159",4648
"1400175",5984
"1400209",8667
"1400233",4005
"1400282",3520
"1400308",6941
"1400407",3334
"1400456",4623
"1400472",11473
"1400506",3434
"1400605",3689
"1400704",2444
"1500107",72455
"1500131",3346
"1500206",22958
"1500305",12177
"1500347",14183
"1500404",23007
"1500503",16454
"1500602",52360
"1500701",7907
"1500800",301074
"1500859",9138
"1500909",15976
"1500958",11378
"1501006",6810
"1501105",8519
"1501204",17659
"1501253",1795
"1501303",54665
"1501402",910254
"1501451",7817
"1501501",29866
"1501576",7165
"1501600",6233
"1501709",54864
"1501725",7636
"1501758",3312
"1501782",23121
"1501808",34009
"1501907",11608
"1501956",9078
"1502004",9784
"1502103",58892
"1502152",14619
"1502202",33633
"1502301",22205
"1502400",100467
"1502509",7355
"1502608",5721
"1502707",23430
"1502756",12598
"1502764",5001
"1502772",8631
"1502806",10729
"1502855",5441
"1502905",17863
"1502939",25282
"1502954",13758
"1503002",3771
"1503044",8430
"1503077",9534
"1503093",13547
"1503101",11249
"1503200",17966
"1503309",26601
"1503408",5010
"1503457",22240
"1503507",14175
"1503606",50158
"1503705",21477
"1503754",5841
"1503804",26094
"1503903",21807
"1504000",11218
"1504059",13489
"1504109",3966
"1504208",125686
"1504307",13568
"1504406",13762
"1504422",65744
"1504455",12947
"1504505",6989
"1504604",12625
"1504703",30504
"1504802",26630
"1504901",16265
"1504950",7880
"1504976",6586
"1505007",6661
"1505031",14017
"1505064",26797
"1505106",23461
"1505205",11462
"1505304",30076
"1505403",7386
"1505437",14254
"1505486",17590
"1505494",3313
"1505502",49841
"1505536",88313
"1505551",2674
"1505601",3752
"1505635",5761
"1505650",11086
"1505700",12333
"1505809",16681
"1505908",13145
"1506005",12425
"1506104",4578
"1506112",5330
"1506138",40846
"1506161",9391
"1506187",22886
"1506195",18388
"1506203",20118
"1506302",10699
"1506351",9328
"1506401",4357
"1506500",33930
"1506559",8036
"1506583",8491
"1506609",11512
"1506708",28170
"1506807",160529
"1506906",2807
"1507003",13905
"1507102",8663
"1507151",10699
"1507201",12017
"1507300",50456
"1507409",7799
"1507458",11884
"1507466",2742
"1507474",9199
"1507508",5558
"1507607",24643
"1507706",10243
"1507755",2392
"1507805",5288
"1507904",12273
"1507953",39296
"1507961",5290
"1507979",8609
"1508001",26652
"1508035",11755
"1508050",7873
"1508084",17993
"1508100",52418
"1508126",22154
"1508159",22327
"1508209",25832
"1508308",22597
"1508357",6527
"1508407",22139
"1600055",2199
"1600105",3854
"1600154",5012
"1600204",4311
"1600212",2098
"1600238",2658
"1600253",1828
"1600279",20079
"1600303",226247
"1600402",6248
"1600501",10483
"1600535",7996
"1600550",1657
"1600600",53300
"1600709",5178
"1600808",5600
"1700251",1284
"1700301",2576
"1700350",3041
"1700400",3301
"1700707",4910
"1701002",4610
"1701051",1602
"1701101",2169
"1701309",2748
"1701903",3078
"1702000",4967
"1702109",89115
"1702158",2361
"1702208",14067
"1702307",3379
"1702406",5043
"1702554",7555
"1702703",1740
"1702901",4093
"1703008",5386
"1703057",1589
"1703073",1796
"1703107",2875
"1703206",2158
"1703305",1811
"1703602",1045
