Art,TÍTULO,CAPÍTULO,DESCRIÇÃO,TIPO DE PENA,REGIME INICIAL EM REGRA,MIN-ANOS,MAX-ANOS,MIN-DIAS,MAX-DIAS,DIF ABSOLUTA,DIF RELATIVA,MULTA,HEDIONDO,JECRIM/TRANSAÇÃO,SURSIS,OTHER
277,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES PRATICADOS POR PARTICULAR CONTRA A ADMINISTRAÇÃO EM GERAL,Resistência,detenção,ABERTO,0.1643835616,2,60,730,670,12.16666667,0,,1,1,
286,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES PRATICADOS POR PARTICULAR CONTRA A ADMINISTRAÇÃO EM GERAL,Inutilização de edital ou de sinal,detenção ou multa,ABERTO,0.08219178082,1,30,365,335,12.16666667,0,,1,1,
279,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES PRATICADOS POR PARTICULAR CONTRA A ADMINISTRAÇÃO EM GERAL,Desobediência,detenção,ABERTO,0.04109589041,0.4931506849,15,180,165,12,1,,1,1,
254,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES PRATICADOS POR FUNCIONÁRIO PÚBLICO CONTRA A ADMINISTRAÇÃO EM GERAL,Modificação ou alteração não autorizada de sistema de informações,detenção,ABERTO,0.2465753425,2,90,730,640,8.111111111,1,,1,1,
275,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES PRATICADOS POR PARTICULAR CONTRA A ADMINISTRAÇÃO EM GERAL,Usurpação de função pública,detenção,ABERTO,0.2465753425,2,90,730,640,8.111111111,1,,1,1,
300,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES CONTRA A ADMINISTRAÇÃO DA JUSTIÇA,Fraude processual,detenção,ABERTO,0.2465753425,2,90,730,640,8.111111111,1,,1,1,
294,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES CONTRA A ADMINISTRAÇÃO DA JUSTIÇA,Auto-acusação falsa,detenção ou multa,ABERTO,0.2465753425,2,90,730,640,8.111111111,0,,1,1,
313,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES CONTRA A ADMINISTRAÇÃO DA JUSTIÇA,Desobediência a decisão judicial sobre perda ou suspensão de direito,detenção ou multa,ABERTO,0.2465753425,2,90,730,640,8.111111111,0,,1,1,
289,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES PRATICADOS POR PARTICULAR CONTRA A ADMINISTRAÇÃO PÚBLICA ESTRANGEIRA,Corrupção ativa em transação comercial internacional,reclusão,ABERTO ou SEMI-ABERTO,1,8,365,2920,2555,8,1,,,1,
267,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES PRATICADOS POR FUNCIONÁRIO PÚBLICO CONTRA A ADMINISTRAÇÃO EM GERAL,Violência arbitrária,detenção,ABERTO,0.4931506849,3,180,1095,915,6.083333333,0,,,1,além da pena correspondente à violência
308,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES CONTRA A ADMINISTRAÇÃO DA JUSTIÇA,Patrocínio infiel,detenção,ABERTO,0.4931506849,3,180,1095,915,6.083333333,1,,,1,
309,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES CONTRA A ADMINISTRAÇÃO DA JUSTIÇA,Patrocínio simultâneo ou tergiversação,detenção,ABERTO,0.4931506849,3,180,1095,915,6.083333333,1,,,1,
310,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES CONTRA A ADMINISTRAÇÃO DA JUSTIÇA,Sonegação de papel ou objeto de valor probatório,detenção,ABERTO,0.4931506849,3,180,1095,915,6.083333333,1,,,1,
312,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES CONTRA A ADMINISTRAÇÃO DA JUSTIÇA,Violência ou fraude em arrematação judicial,detenção ou multa,ABERTO,0.1643835616,1,60,365,305,6.083333333,0,,1,1,além da pena correspondente à violência
250,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES PRATICADOS POR FUNCIONÁRIO PÚBLICO CONTRA A ADMINISTRAÇÃO EM GERAL,Peculato,reclusão,"ABERTO, SEMI-ABERTO ou FECHADO",2,12,730,4380,3650,6,1,,,,
253,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES PRATICADOS POR FUNCIONÁRIO PÚBLICO CONTRA A ADMINISTRAÇÃO EM GERAL,Inserção de dados falsos em sistema de informações,reclusão,"ABERTO, SEMI-ABERTO ou FECHADO",2,12,730,4380,3650,6,1,,,,
257,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES PRATICADOS POR FUNCIONÁRIO PÚBLICO CONTRA A ADMINISTRAÇÃO EM GERAL,Concussão,reclusão,"ABERTO, SEMI-ABERTO ou FECHADO",2,12,730,4380,3650,6,1,,,,
259,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES PRATICADOS POR FUNCIONÁRIO PÚBLICO CONTRA A ADMINISTRAÇÃO EM GERAL,Excesso de exação (desvio),reclusão,"ABERTO, SEMI-ABERTO ou FECHADO",2,12,730,4380,3650,6,1,,,,
260,DOS CRIMES CONTRA A ADMINISTRAÇÃO PÚBLICA,DOS CRIMES PRATICADOS POR FUNCIONÁRIO PÚBLICO CONTRA A ADMINISTRAÇÃO EM GERAL,Corrupção passiva,reclusão,"ABERTO, SEMI-ABERTO ou FECHADO",2,12,730,4380,3650,6,1,,,,
