UF,Município,IFGF,Autonomia,Gastos com Pessoal,Liquidez ,Investimentos
MS,Costa Rica,1,1,1,1,1
SP,Gavião Peixoto,1,1,1,1,1
SP,São Pedro,1,1,1,1,1
TO,Alvorada,1,1,1,1,1
SC,Turvo,0.9892,1,0.9569,1,1
GO,Campo Alegre de Goiás,0.9806,1,0.9223,1,1
PR,São Jorge do Ivaí,0.9647,0.9633,0.951,0.9443,1
MG,Extrema,0.9631,1,0.8524,1,1
PR,Mangueirinha,0.9597,1,0.8483,1,0.9904
RS,Alpestre,0.9561,1,1,0.8245,1
SP,Santana de Parnaíba,0.9488,1,1,1,0.7952
RS,Tupandi,0.9463,1,1,0.7852,1
SC,Saudades,0.9439,1,1,0.7754,1
MS,Paraíso das Águas,0.9435,1,1,1,0.774
RS,Westfália,0.9413,1,1,0.7813,0.9841
PR,Tuneiras do Oeste,0.9411,0.9306,0.8336,1,1
RS,Poço das Antas,0.9396,0.8443,1,0.914,1
MS,Brasilândia,0.935,0.7413,1,1,0.9985
MG,Belo Vale,0.9327,0.987,1,0.7436,1
PR,Nova Londrina,0.9315,1,0.7261,1,1
SC,Balneário Rincão,0.9275,1,1,0.71,1
SC,Arvoredo,0.927,1,0.9775,0.7307,1
PR,Itapejara d'Oeste,0.9261,1,1,0.7044,1
PR,Iporã,0.9251,0.7856,1,0.9462,0.9687
PR,Saudade do Iguaçu,0.9198,1,1,1,0.6792
PR,Francisco Alves,0.9195,0.678,1,1,1
GO,Vicentinópolis,0.9162,1,0.8061,1,0.8587
SC,Palmitos,0.9151,1,0.8829,1,0.7774
SC,Gaspar,0.9149,1,0.7428,0.9503,0.9664
SC,Lacerdópolis,0.9101,0.9015,0.7388,1,1
SC,Erval Velho,0.9095,1,0.8186,0.8195,1
SC,Serra Alta,0.9088,0.6784,0.9593,1,0.9976
PR,Realeza,0.9083,1,0.7938,0.9966,0.8426
PR,Umuarama,0.9079,1,1,0.9856,0.6461
MT,São Félix do Araguaia,0.9077,0.8157,0.9923,1,0.8228
MT,Alto Garças,0.9042,1,0.9808,1,0.6362
SC,Tunápolis,0.9042,1,0.9439,0.6729,1
PR,Mauá da Serra,0.9038,0.9614,0.6536,1,1
SC,Ibicaré,0.902,0.8324,0.7755,1,1
RS,Feliz,0.9013,1,1,0.6053,1
SC,Nova Erechim,0.9008,0.9623,1,0.6407,1
MT,Nova Xavantina,0.8993,0.9004,0.8504,1,0.8463
RS,Nova Ramada,0.8985,0.7563,0.8964,0.9412,1
ES,São Domingos do Norte,0.8981,0.9469,0.6457,1,1
MT,Santo Antônio do Leste,0.8981,1,1,0.9315,0.6607
RS,São José do Hortêncio,0.898,0.5919,1,1,1
SC,Coronel Freitas,0.898,1,0.6145,0.9774,1
PR,Renascença,0.8976,0.9123,0.9184,0.8536,0.9062
