Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
Prefeito,MG,ALTEROSA,PFL,25,TIMOTHEO DE SOUZA NETTO,"3,320",Eleito,47.921,(sem coligação)
Prefeito,MG,ABAETE,PFL,25,GILBERTO ALVES SOARES,"5,599",Eleito,46.261,(sem coligação)
Prefeito,MG,ALTO CAPARAO,PMDB,15,DELFINO JOSE EMERICH,"1,298",Eleito,61.169,(sem coligação)
Prefeito,MG,ALAGOA,PFL,25,ELI CHAVES,"1,004",Eleito,52.898,(sem coligação)
Prefeito,MG,ABRE CAMPO,PPB,11,JOSE RAIMUNDO DA SILVA,"4,038",Eleito,54.649,(sem coligação)
Prefeito,MG,AGUA BOA,PMDB,15,JOAO FERNANDES DOS SANTOS,"5,128",Eleito,74.622,(sem coligação)
Prefeito,MG,AGUAS VERMELHAS,PT,13,VALDECY JOSE DE SOUZA,"2,836",Eleito,50.733,(sem coligação)
Prefeito,MG,ALBERTINA,PMDB,15,BENEDITO EDIVINO LUIZ,"1,474",Eleito,100,(sem coligação)
Prefeito,MG,ALPINOPOLIS,PL,22,JOAQUIM ITAMAR DA SILVEIRA,"5,719",Eleito,61.954,(sem coligação)
Prefeito,MG,ALEM PARAIBA,PSB,40,MIGUEL BELMIRO DE SOUZA,"9,340",Eleito,48.788,(sem coligação)
Prefeito,MG,AGUA COMPRIDA,PFL,25,ELBAS FERREIRA DE ALMEIDA,"1,272",Eleito,69.243,(sem coligação)
Prefeito,MG,AIMORES,PMDB,15,JURANDIR DA ROCHA,"9,457",Eleito,69.024,(sem coligação)
Prefeito,MG,ABADIA DOS DOURADOS,PFL,25,JOSE LEMES DOS SANTOS,"3,378",Eleito,79.445,(sem coligação)
Prefeito,MG,ACAIACA,PFL,25,JOSE CALIXTO MILAGRES,"1,569",Eleito,70.58,(sem coligação)
Prefeito,MG,AGUANIL,PFL,25,WANTUIL DE SOUZA,930,Eleito,46.315,(sem coligação)
Prefeito,MG,ALFENAS,PMDB,15,HESSE LUIZ PEREIRA,"14,142",Eleito,48.242,(sem coligação)
Prefeito,MG,ALFREDO VASCONCELOS,PPB,11,OLACIR ELY DA SILVA,"1,260",Eleito,43.811,(sem coligação)
Prefeito,MG,ALPERCATA,PMDB,15,EDSON AMANCIO DE SA,"2,386",Eleito,56.036,(sem coligação)
Prefeito,MG,BARAO DE COCAIS,PDT,12,JAIR PEREIRA COSTA,"5,619",Eleito,46.907,(sem coligação)
Prefeito,MG,ACUCENA,PSDB,45,SIMAN JOSE,"3,082",Eleito,48.156,(sem coligação)
Prefeito,MG,AIURUOCA,PSDB,45,JOAQUIM DE FARIA LOPES,"1,951",Eleito,51.369,(sem coligação)
Prefeito,MG,AGUAS FORMOSAS,PMDB,15,JOAO AUGUSTO FERNANDES SOBRINHO,"4,676",Eleito,53.908,(sem coligação)
Prefeito,MG,ANTONIO CARLOS,PPB,11,MANOEL JOSE RETTORE CABRAL,"2,289",Eleito,37.433,(sem coligação)
Prefeito,MG,ARAPONGA,PSDB,45,PAULO AFONSO MIRANDA,"1,819",Eleito,47.161,(sem coligação)
Prefeito,MG,ARGIRITA,PMDB,15,EMILIO CESAR VITOI,"1,133",Eleito,47.665,(sem coligação)
Prefeito,MG,ALMENARA,PMDB,15,CHAUE CHEQUER FILHO,"8,959",Eleito,54.936,(sem coligação)
Prefeito,MG,ALVINOPOLIS,PMDB,15,JOSE MILTON DA SILVA,"4,899",Eleito,53.262,(sem coligação)
Prefeito,MG,ARCOS,PPB,11,HILDA BORGES DE ANDRADE,"9,325",Eleito,51.996,(sem coligação)
Prefeito,MG,ASTOLFO DUTRA,PSDB,45,ARCILIO VENANCIO RIBEIRO,"2,789",Eleito,38.305,(sem coligação)
Prefeito,MG,ALVARENGA,PT,13,JOSE RAIMUNDO,"2,242",Eleito,61.341,(sem coligação)
Prefeito,MG,AMPARO DO SERRA,PMDB,15,GERALDO FERREIRA BITENCOURT,"1,464",Eleito,39.88,(sem coligação)
Prefeito,MG,ANDRELANDIA,PMDB,15,ALFREDO REZENDE SALGADO,"3,976",Eleito,51.543,(sem coligação)
Prefeito,MG,BAMBUI,PFL,25,PAULO IRENE DE FARIA,"7,043",Eleito,55.153,(sem coligação)
Prefeito,MG,BAEPENDI,PTB,14,MARCELINO ALVES FERREIRA FILHO,"3,508",Eleito,36.469,(sem coligação)
Prefeito,MG,ALVORADA DE MINAS,PFL,25,ANTONIO SIMOES LEITE,"1,037",Eleito,51.261,(sem coligação)
Prefeito,MG,AUGUSTO DE LIMA,PPB,11,ENEBIO DE FATIMA FONSECA,"1,792",Eleito,56.817,(sem coligação)
Prefeito,MG,ARAGUARI,PMDB,15,MILTON DE LIMA FILHO,"17,754",Eleito,32.724,(sem coligação)
Prefeito,MG,ANDRADAS,PT,13,WILKYE VERONESE,"8,019",Eleito,53.166,(sem coligação)
Prefeito,MG,ARAPORA,PFL,25,WILMAR ALVES DE OLIVEIRA,"1,578",Eleito,51.518,(sem coligação)
Prefeito,MG,ARACAI,PMDB,15,MARCIO GONZAGA DIAS DE OLIVEIRA,766,Eleito,53.231,(sem coligação)
Prefeito,MG,ARAXA,PSDB,45,OLAVO DRUMMOND,"24,212",Eleito,53.999,(sem coligação)
Prefeito,MG,ARICANDUVA,PFL,25,MARIA ALEXANDRINA CORDEIRO,"1,198",Eleito,60.292,(sem coligação)
Prefeito,MG,ALTO JEQUITIBA,PSDB,45,MARCO ANTONIO LOPES,"2,283",Eleito,52.677,(sem coligação)
Prefeito,MG,ANTONIO DIAS,PMDB,15,SILVIO ROBERTO ARAUJO,"3,225",Eleito,62.646,(sem coligação)
Prefeito,MG,ARAPUA,PSDB,45,FERNANDO MARIA BONTEMPO,"1,406",Eleito,61.938,(sem coligação)
