"ANO_ELEICAO","NUM_TURNO","SIGLA_UE","CODIGO_CARGO","NOME_URNA_CANDIDATO","NUMERO_CANDIDATO"
2012,2,"01392",11,"MARCUS ALEXANDRE",13
2012,1,"01392",11,"MARCUS ALEXANDRE",13
2012,1,"01392",11,"FERNANDO MELO",15
2012,1,"01392",11,"ANTONIA LUCIA",20
2012,1,"01392",11,"LEONCIO CASTRO",33
2012,1,"01392",11,"TIAO BOCALOM",45
2012,2,"01392",11,"TIAO BOCALOM",45
2012,1,"01392",11,"PROFESSORA PEREGRINA",50
2012,1,"27855",11,"GALBA",10
2012,1,"27855",11,"JURANDIR BOIA",12
2012,1,"27855",11,"NADJA",23
2012,1,"27855",11,"JEFERSON MORAIS",25
2012,1,"27855",11,"RUI PALMEIRA",45
2012,1,"27855",11,"FLEMING",50
2012,1,"27855",11,"SERGIO CABRAL",54
2012,1,"27855",11,"ROSINHA ADEFAL",70
2012,1,"02259",11,"MAGALHAES",10
2012,1,"02259",11,"ARNALDO MITOUSO",33
2012,1,"02259",11,"ADAIL PINHEIRO",44
2012,1,"02259",11,"DR MIGUEL",50
2012,1,"02356",11,"ROBERTO RUI",11
2012,1,"02356",11,"PROF SIDNEY TEMO",14
2012,1,"02356",11,"DEDEI LOBO",15
2012,1,"02356",11,"PERNAMBUCO",50
2012,1,"02534",11,"REGIS",15
2012,1,"02534",11,"ORLANDO CIDADE",19
2012,1,"02534",11,"ANGELUS FIGUEIRA",43
2012,1,"02550",11,"SABINO CASTELO BRANCO",14
2012,1,"02550",11,"HERBERT AMAZONAS",16
2012,1,"02550",11,"LUIZ NAVARRO",21
2012,1,"02550",11,"HENRIQUE OLIVEIRA",22
2012,1,"02550",11,"PAUDERNEY",25
2012,1,"02550",11,"JERONIMO MARANHAO",33
2012,1,"02550",11,"SERAFIM",40
2012,2,"02550",11,"ARTUR NETO",45
2012,1,"02550",11,"ARTUR NETO",45
2012,1,"02550",11,"VANESSA GRAZZIOTIN",65
2012,2,"02550",11,"VANESSA GRAZZIOTIN",65
2012,1,"02615",11,"JUNIOR LEITE",12
2012,1,"02615",11,"PADRE CARLOS",13
2012,1,"02615",11,"ALFREDO",15
2012,1,"02615",11,"ANDREA",55
2012,1,"06050",11,"ROBERTO",12
2012,2,"06050",11,"ROBERTO",12
2012,1,"06050",11,"GENIVAL CRUZ",16
2012,1,"06050",11,"DAVI ALCOLUMBRE",25
2012,1,"06050",11,"CRISTINA ALMEIDA",40
2012,1,"06050",11,"PROFESSOR MARCO ANTONIO",45
2012,1,"06050",11,"CLECIO",50
2012,2,"06050",11,"CLECIO",50
2012,1,"06050",11,"MILHOMEN",65
2012,1,"30007",11,"HUMBERTO SANTA CRUZ",11
2012,1,"30007",11,"OZIEL OLIVEIRA",12
2012,1,"30007",11,"JAIME CAPPELLESSO",14
2012,1,"30007",11,"JUAREZ SOUZA",15
2012,1,"30996",11,"RUI DOURADO",15
2012,1,"30996",11,"JOAO CARDOSO",40
2012,1,"33090",11,"ROBERIO NUNES",12
2012,1,"33090",11,"DR JOAO PAULO",13
2012,1,"33138",11,"PAULO CEZAR",12
2012,1,"33138",11,"JOSEILDO RAMOS",13
2012,1,"33138",11,"GILVAN ARTES",20
2012,1,"33812",11,"EDMILSON",12
2012,1,"33812",11,"MARCO TULIO",15
2012,1,"33812",11,"LUCIANO",40
2012,1,"33910",11,"MARIZETE",13
2012,1,"33910",11,"AGUIBERTO",17
2012,1,"33910",11,"GILSON DIAS",43
2012,1,"34134",11,"ZE ELISIO",11
2012,1,"34134",11,"ADEMAR",13
2012,1,"34134",11,"INDIO METALURGICO",16
2012,1,"34134",11,"MAURICIO TUDE",19
2012,1,"34134",11,"TEREZA",45
2012,1,"34134",11,"AROLDO LOTERIA",50
2012,1,"34355",11,"RISO ALMERINDO",12
2012,1,"34355",11,"RODRIGO",13
2012,1,"34355",11,"DR ANDERSON MOURA",23
2012,1,"34355",11,"RANULFO GOMES",55
2012,1,"35157",11,"TARCIZIO PIMENTA",12
2012,1,"35157",11,"ZE NETO",13
2012,1,"35157",11,"JOSE RONALDO",25
2012,1,"35157",11,"JHONATAS",50
2012,1,"35157",11,"ADELMO MENEZES",54
2012,1,"35793",11,"CEZARIO COSTA",12
2012,1,"35793",11,"DERALDINO",15
2012,1,"35793",11,"PROFESSOR ALBIONE",16
2012,1,"35971",11,"VANE RENASCER",10
2012,1,"35971",11,"JUCARA",13
2012,1,"35971",11,"ZE ROBERTO",16
2012,1,"35971",11,"PEDRO ELIODORIO",21
2012,1,"35971",11,"CAPITAO AZEVEDO",25
2012,1,"35971",11,"ZEM COSTA",50
2012,1,"36471",11,"APOSTOLO DENILSON",10
2012,1,"36471",11,"LUCAS",13
2012,1,"36471",11,"IRAMAR",15
2012,1,"36471",11,"ANDREZITO",55
2012,1,"36617",11,"DRA TANIA",11
2012,1,"36617",11,"EUCLIDES",12
2012,1,"36617",11,"DR FERNANDO",43
2012,1,"36854",11,"DR MARCIO",11
2012,1,"36854",11,"JOAO OLIVEIRA",13
2012,1,"36854",11,"JAIR PSOL",50
2012,1,"36919",11,"DR PAULO",44
2012,1,"36919",11,"RICARDINHO",55
2012,1,"36978",11,"ROBINHO",11
2012,1,"36978",11,"ZEZINHO",40
2012,1,"37290",11,"ADRIANO",10
2012,1,"37290",11,"DIRCEU ALBERTO",12
2012,1,"37311",11,"JORGE ANDRADE",11
2012,1,"37311",11,"EVARISTO",13
2012,1,"37311",11,"ZE VALDO",20
2012,1,"37311",11,"DR JOSE RUDIVAL",50
2012,1,"37931",11,"MARLOS ANDRE",13
2012,1,"37931",11,"HELIO PALMEIRA",22
2012,1,"38172",11,"EDILEUZA MILTAO",10
2012,1,"38172",11,"DR ANDRE",13
2012,1,"38172",11,"BARBARA MAURINHO",20
2012,1,"38172",11,"TARCISIO",22
2012,1,"38270",11,"TANIA MATOS",12
2012,1,"38270",11,"FERNANDO DUDU",17
2012,1,"38270",11,"DRA GLEIDE",65
2012,1,"38334",11,"GORDO DADA",11
2012,1,"38334",11,"RICARDO MAIA",55
2012,1,"38334",11,"BERGUINHO",65
2012,1,"38393",11,"VALTINHO",13
2012,1,"38393",11,"DR NEY",15
2012,1,"38490",11,"MARCIO MARINHO",10
2012,1,"38490",11,"PELEGRINO",13
2012,2,"38490",11,"PELEGRINO",13
2012,1,"38490",11,"MARIO KERTESZ",15
2012,2,"38490",11,"ACM NETO",25
2012,1,"38490",11,"ACM NETO",25
2012,1,"38490",11,"DA LUZ",28
2012,1,"38490",11,"HAMILTON ASSIS",50
2012,1,"38733",11,"HUMBERTO LEITE",12
2012,1,"38733",11,"ALVARO BESSA",13
2012,1,"38733",11,"DALVA",40
2012,1,"38733",11,"FRANDERRAK",50
2012,1,"38830",11,"RILZA",13
2012,1,"38830",11,"CALMON",15
2012,1,"38830",11,"IRMAO RONALT",65
2012,1,"39659",11,"ABEL",12
2012,1,"39659",11,"GUILHERME",13
2012,2,"39659",11,"GUILHERME",13
2012,2,"39659",11,"HERZEM GUSMAO",15
2012,1,"39659",11,"HERZEM GUSMAO",15
2012,1,"39659",11,"ELQUISSON SOARES",23
2012,1,"39659",11,"EDIGAR MAO BRANCA",43
2012,1,"39713",11,"DR RICARDO",13
2012,1,"39713",11,"RENAN",15
2012,1,"39748",11,"CARMEN",13
2012,1,"39748",11,"DAILTON FILHO",15
2012,1,"39918",11,"DANIEL",13
2012,1,"39918",11,"DEDE",15
2012,1,"13218",11,"IVAN SILVERIO",12
2012,1,"13218",11,"RICARDO SALES",14
2012,1,"13218",11,"DR EVALDO",17
2012,1,"13218",11,"REGINA CARDOSO",40
2012,1,"13323",11,"VALMAR",12
2012,1,"13323",11,"JOAO MOTA",14
2012,1,"13692",11,"TIAGO",27
2012,1,"13692",11,"IVONETE QUEIROZ",31
2012,1,"13692",11,"LIDUINA ESTEVES",40
2012,1,"13714",11,"DR RAFAEL",15
2012,1,"13714",11,"CEL GOMES",40
2012,1,"13854",11,"MARCOS CUNHA",13
2012,1,"13854",11,"RONALDO CERAMICA",15
2012,1,"13854",11,"ROQUE",40
2012,1,"13854",11,"DR CICERO",43
2012,1,"13897",11,"HEITOR FERRER",12
2012,1,"13897",11,"ELMANO",13
2012,2,"13897",11,"ELMANO",13
2012,1,"13897",11,"GONZAGA",16
2012,1,"13897",11,"MORONI",25
2012,1,"13897",11,"PROFESSOR VALDECI",28
2012,2,"13897",11,"ROBERTO CLAUDIO",40
2012,1,"13897",11,"ROBERTO CLAUDIO",40
2012,1,"13897",11,"MARCOS CALS",45
2012,1,"13897",11,"RENATO ROSENO",50
2012,1,"13897",11,"ANDRE RAMOS",54
2012,1,"13897",11,"INACIO ARRUDA",65
2012,1,"14095",11,"MARCOS NUNES",15
2012,1,"14095",11,"JAIME JUNIOR",25
2012,1,"14117",11,"ADERILO",10
2012,1,"14117",11,"MURILO BRAGA",23
2012,1,"14117",11,"PAULO LIMA",36
2012,1,"14117",11,"MIRIAN SOBREIRA",40
2012,1,"14435",11,"ANALEDA LUZ",15
2012,1,"14435",11,"CREMILDA",55
2012,1,"14478",11,"DR SANTANA",13
2012,1,"14478",11,"RAIMUNDAO",15
2012,1,"14478",11,"DEMONTIEUX JORNAL",50
2012,1,"14516",11,"DR TAVINHO",10
2012,1,"14516",11,"ILDSSER",15
2012,1,"14516",11,"CARLOS OLAVO",40
2012,1,"14575",11,"PAREDAO",11
2012,1,"14575",11,"ROGER",55
2012,1,"14699",11,"DR TARDINY",13
2012,1,"14699",11,"VICENTE EMATERCE",20
2012,1,"14699",11,"WASHINGTON FECHINE",40
2012,1,"15270",11,"JOAO SAPATARIA",10
2012,1,"15270",11,"ILARIO MARQUES",13
2012,1,"15270",11,"ZE NILSON",45
2012,1,"15296",11,"DR ROMULO",40
2012,1,"15296",11,"CIRILO PIMENTA",55
2012,1,"15458",11,"FABIANO",15
2012,1,"15458",11,"TOMAS FIGUEIREDO",45
2012,1,"15458",11,"CHAGAS MESQUITA",55
2012,1,"15598",11,"VEVEU",13
2012,1,"15598",11,"DR GUIMARAES",43
2012,1,"15598",11,"MARCO PRADO",45
2012,1,"15598",11,"PROFESSOR OSVALDO",50
2012,1,"15679",11,"PATRICIA",15
2012,1,"15679",11,"DR CARLOS WINDSON",22
2012,1,"15679",11,"JOSIVALDO",45
2012,1,"15814",11,"HOMERO",11
2012,1,"15814",11,"CAUBI BEZERRA",36
2012,1,"15814",11,"VANDERLEI",55
2012,1,"15857",11,"FIRMO CAMURCA",22
2012,1,"15857",11,"SERGIO MORAES",28
2012,1,"15857",11,"CIRO AUGUSTO",50
2012,1,"15857",11,"JULIO CESAR",55
2012,1,"56073",11,"MARQUINHOS",14
