"NOME_URNA_CANDIDATO","CODIGO_CARGO","SIGLA_UE","NUMERO_CANDIDATO","NUM_TURNO","ANO_ELEICAO"
"JE",11,"35556",11,1,2020
"JAPAO",11,"93327",27,1,2020
"DR MESSIAS SIMAO",11,"20818",45,1,2020
"ALEXSANDRO BONANCA",11,"04707",36,1,2020
"PAULO VALE",11,"95710",25,1,2020
"DR BRENO MENDES",11,"00035",70,1,2020
"CHICO PILINO",11,"08176",10,1,2020
"PAULO NERES",11,"56111",20,1,2020
"MARCONE AABB",11,"49417",43,1,2020
"PEDRO BOARETO",11,"63096",22,1,2020
"HEBER ADVOGADO",11,"21172",27,1,2020
"ROSILDA BASTOS",11,"34630",55,1,2020
"AMARILDO MARTINS",11,"93998",25,1,2020
"ISAAC FILHO",11,"09075",15,1,2020
"ALDO LOPES",11,"07714",40,1,2020
"ZE FOLHA",11,"09113",15,1,2020
"SAMUEL MARQUES",11,"15679",70,1,2020
"SOCORRO CARLOS EVANDRO",11,"25771",70,1,2020
"MANINHA",11,"11134",22,1,2020
"PROFESSOR ABRAAO",11,"11673",40,1,2020
"KEYLA CRISTINA",11,"35890",22,1,2020
"PROFESSOR IVANCI",11,"63770",16,1,2020
"RODRIGO CHAPEU",11,"90190",14,1,2020
"ROBERTO SAMPAIO",11,"92134",55,1,2020
"REGINALDO ARAUJO",11,"18350",11,1,2020
"PAULO HENRIQUE",11,"17914",11,1,2020
"VALMIR",11,"80403",11,1,2020
"SHAOLYN GOMES",11,"03018",33,1,2020
"CLAUDINHA",11,"18171",11,1,2020
"MARIANA OLIVEIRA",11,"36510",13,1,2020
"LUIZ HENRIQUE",11,"67172",28,1,2020
"PEDRO VICTOR",11,"28533",40,1,2020
"DIDA TIO LUIS",11,"09393",40,1,2020
"FABIO SERVIO",11,"12190",90,1,2020
"DR ROGERIO",11,"94250",28,1,2020
"VETER MARTINS",11,"92274",55,1,2020
"PROFESSOR BAZZOLI",11,"73440",50,1,2020
"DOUTOR AIRTON",11,"18775",12,1,2020
"JAMES SCHROEDER",11,"81795",12,1,2020
"PROFESSOR MAURICIO",11,"69213",13,1,2020
"DR WAGNER",11,"12238",11,1,2020
"VINICIUS CRUZ",11,"75043",36,1,2020
"BINE SOARES",11,"08796",45,1,2020
"KARLA GALENDE",11,"84670",45,1,2020
"BISCOITO",11,"94374",13,1,2020
"MOACIR GIACOMELLI",11,"98973",19,1,2020
"DR PESSOA",11,"12190",15,1,2020
"FILHO COQUEIRO",11,"08699",90,1,2020
"JAMES MEIRA",11,"36617",51,1,2020
"JAMYL ASFURY",11,"01392",20,1,2020
"PEPEU",11,"22250",17,1,2020
"PAULINHO ARAUJO",11,"93610",11,1,2020
"JULIO CESAR",11,"05835",28,1,2020
"RENATA RIBEIRO",11,"62197",50,1,2020
"PROFESSORA BETE SIRAQUE",11,"70572",13,1,2020
"PAULO MATOS",11,"90514",20,1,2020
"LUCIANE STOBE",11,"80810",14,1,2020
"LUIZINHO ILHA",11,"65099",45,1,2020
"DR FERNANDO",11,"36617",55,1,2020
"ZAQUEU",11,"24198",11,1,2020
"JUNIOR VAZ",11,"25151",70,1,2020
"FREDSON",11,"04308",19,1,2020
"VICENTE CASCIONE",11,"70718",90,1,2020
