UF;ELE_UF;PARTIDO;FILIADOS
AC;548565;AVANTE;674
AC;548565;CIDADANIA;1.340
AC;548565;DC;1.128
AC;548565;DEM;3.258
AC;548565;MDB;9.127
AC;548565;NOVO;32
AC;548565;PATRIOTA;1.143
AC;548565;PCB;71
AC;548565;PCDOB;7.707
AC;548565;PCO;39
AC;548565;PDT;2.460
AC;548565;PL;2.150
AC;548565;PMB;1.204
AC;548565;PMN;1.287
AC;548565;PODE;4.010
AC;548565;PP;6.947
AC;548565;PROS;1.728
AC;548565;PRTB;1.175
AC;548565;PSB;3.786
AC;548565;PSC;1.482
AC;548565;PSD;1.802
AC;548565;PSDB;6.167
AC;548565;PSL;1.484
AC;548565;PSOL;1.725
AC;548565;PSTU;73
AC;548565;PT;9.186
AC;548565;PTB;1.701
AC;548565;PTC;912
AC;548565;PV;1.648
AC;548565;REDE;84
AC;548565;REPUBLICANOS;1.971
AC;548565;SOLIDARIEDADE;1.200
AL;2.212.142;AVANTE;4.041
AL;2.212.142;CIDADANIA;5.465
AL;2.212.142;DC;2.091
AL;2.212.142;DEM;9.874
AL;2.212.142;MDB;17.999
AL;2.212.142;NOVO;154
AL;2.212.142;PATRIOTA;8.073
AL;2.212.142;PCB;37
AL;2.212.142;PCDOB;4.074
AL;2.212.142;PCO;77
AL;2.212.142;PDT;9.347
AL;2.212.142;PL;8.438
AL;2.212.142;PMB;230
AL;2.212.142;PMN;4.202
AL;2.212.142;PODE;5.566
AL;2.212.142;PP;17.723
AL;2.212.142;PROS;2.435
AL;2.212.142;PRTB;2.977
AL;2.212.142;PSB;12.714
AL;2.212.142;PSC;6.156
AL;2.212.142;PSD;3.879
AL;2.212.142;PSDB;12.726
AL;2.212.142;PSL;5.459
AL;2.212.142;PSOL;3.453
AL;2.212.142;PSTU;222
AL;2.212.142;PT;9.358
AL;2.212.142;PTB;11.846
AL;2.212.142;PTC;2.360
AL;2.212.142;PV;3.817
AL;2.212.142;REDE;243
AL;2.212.142;REPUBLICANOS;5.689
AL;2.212.142;SOLIDARIEDADE;4.700
AL;2.212.142;UP;104
AM;2.446.888;AVANTE;5.144
AM;2.446.888;CIDADANIA;6.462
AM;2.446.888;DC;4.813
AM;2.446.888;DEM;11.676
AM;2.446.888;MDB;16.028
AM;2.446.888;NOVO;336
AM;2.446.888;PATRIOTA;6.669
AM;2.446.888;PCB;776
AM;2.446.888;PCDOB;19.741
AM;2.446.888;PCO;150
AM;2.446.888;PDT;7.915
AM;2.446.888;PL;11.767
AM;2.446.888;PMB;2.525
