PARTIDO;ANO; VALOR ;PROPORCAO
MDB;2008;19324268,00;0,1425
MDB;2009;22344308,00;0,1437
MDB;2010;22653904,00;0,1413
MDB;2011;33978554,00;0,1281
MDB;2012;36392396,00;0,1271
MDB;2013;35326039,00;0,1201
MDB;2014;35935895,00;0,1146
MDB;2015;86861849,00;0,1071
MDB;2016;78796611,00;0,1068
MDB;2017;71063640,00;0,1067
MDB;2018;83292844,00;0,1067
MDB;2019;42174696,00;0,0579
PT;2008;19893312,55;0,1467
PT;2009;23002512,37;0,1480
PT;2010;23322099,53;0,1454
PT;2011;44165460,69;0,1664
PT;2012;43203370,46;0,1509
PT;2013;47340340,54;0,1609
PT;2014;50314999,19;0,1605
PT;2015;108661768,20;0,1339
PT;2016;98068178,83;0,1329
PT;2017;88443815,71;0,1328
PT;2018;103663942,60;0,1328
PT;2019;77119634,79;0,1038
PSL;2008;89966,05;0,0007
PSL;2009;485214,21;0,0031
PSL;2010;635163,80;0,0040
PSL;2011;1232432,41;0,0046
PSL;2012;1763319,88;0,0062
PSL;2013;1909332,06;0,0065
PSL;2014;1894615,42;0,0060
PSL;2015;7657185,02;0,0094
PSL;2016;6879871,82;0,0093
PSL;2017;5579391,13;0,0084
PSL;2018;7272924,90;0,0093
PSL;2019;87042127,91;0,1172
PSDB;2008;18343770,18;0,1353
PSDB;2009;21210181,67;0,1364
PSDB;2010;21502563,07;0,1341
PSDB;2011;30745236,50;0,1159
PSDB;2012;30191459,52;0,1055
PSDB;2013;32380604,61;0,1101
PSDB;2014;33996754,15;0,1084
PSDB;2015;89096647,49;0,1098
PSDB;2016;80825777,40;0,1095
PSDB;2017;72893655,49;0,1095
PSDB;2018;85523928,97;0,1096
PSDB;2019;45548963,94;0,0613
PDT;2008;7223636,92;0,0533
PDT;2009;8347703,06;0,0537
PDT;2010;8444844,74;0,0527
PDT;2011;13411763,09;0,0505
PDT;2012;14413743,21;0,0503
PDT;2013;13944650,14;0,0474
PDT;2014;12232228,44;0,0390
PDT;2015;28842735,96;0,0356
PDT;2016;26134210,74;0,0354
PDT;2017;23873883,83;0,0359
PDT;2018;27982286,59;0,0359
PDT;2019;35582318,92;0,0479
PSOL;2008;1915287,32;0,0141
PSOL;2009;2207620,77;0,0142
PSOL;2010;1650465,69;0,0103
PSOL;2011;2936638,24;0,0111
PSOL;2012;3786337,88;0,0132
PSOL;2013;3736054,80;0,0127
PSOL;2014;3967874,46;0,0127
PSOL;2015;13806911,32;0,0170
PSOL;2016;13628054,90;0,0185
PSOL;2017;11170248,76;0,0185
PSOL;2018;14406122,75;0,0185
PSOL;2019;22380844,84;0,0301
NOVO;2008; NA ;NA
NOVO;2009; NA ;NA
NOVO;2010; NA ;NA
NOVO;2011; NA ;NA
NOVO;2012; NA ;NA
NOVO;2013; NA ;NA
NOVO;2014; NA ;NA
NOVO;2015;389166,83;0,0005
NOVO;2016;1054128,60;0,0014
NOVO;2017;951129,44;0,0014
NOVO;2018;1114796,40;0,0014
NOVO;2019;22113555,13;0,0297
PSB;2008;8445325,94;0,0623
PSB;2009;9760810,97;0,0628
PSB;2010;9879402,24;0,0616
PSB;2011;18689645,94;0,0704
PSB;2012;20090596,46;0,0702
PSB;2013;19664504,98;0,0668
PSB;2014;18693888,52;0,0596
PSB;2015;50968936,53;0,0628
PSB;2016;46206343,14;0,0626
PSB;2017;41671917,05;0,0626
PSB;2018;48843151,50;0,0626
PSB;2019;42046706,56;0,0566
DEM;2008;14562240,30;0,1074
DEM;2009;16836147,08;0,1083
DEM;2010;17062134,93;0,1064
DEM;2011;19635549,32;0,0740
DEM;2012;18157227,88;0,0634
DEM;2013;14752454,78;0,0501
DEM;2014;14883665,58;0,0475
DEM;2015;33654360,98;0,0415
DEM;2016;30484948,06;0,0413
DEM;2017;27493485,30;0,0413
DEM;2018;32224778,85;0,0413
DEM;2019;35778574,77;0,0482
PP;2008;9631877,16;0,0710
PP;2009;11133275,71;0,0716
PP;2010;11272699,62;0,0703
PP;2011;19546922,38;0,0737
PP;2012;20604053,97;0,0720
PP;2013;19756408,99;0,0672
PP;2014;20301561,46;0,0648
PP;2015;52253516,08;0,0644
PP;2016;47372723,60;0,0642
PP;2017;42723824,09;0,0642
PP;2018;50076079,35;0,0642
PP;2019;42491391,74;0,0572
PTB;2008;6578100,76;0,0485
PTB;2009;7777208,77;0,0500
PTB;2010;8084321,61;0,0504
PTB;2011;11362002,51;0,0428
PTB;2012;11959759,81;0,0418
PTB;2013;11385102,63;0,0387
PTB;2014;11961753,56;0,0382
PTB;2015;32295354,77;0,0398
PTB;2016;29250989,24;0,0396
PTB;2017;26380632,34;0,0396
PTB;2018;30920417,04;0,0396
PTB;2019;16706248,25;0,0225
REPUBLICANOS;2008;647384,21;0,0048
REPUBLICANOS;2009;500088,83;0,0032
REPUBLICANOS;2010;599741,40;0,0037
REPUBLICANOS;2011;5249224,03;0,0198
REPUBLICANOS;2012;5486551,59;0,0192
REPUBLICANOS;2013;5345374,69;0,0182
REPUBLICANOS;2014;5671383,18;0,0181
REPUBLICANOS;2015;36341084,84;0,0448
REPUBLICANOS;2016;32929446,32;0,0446
REPUBLICANOS;2017;29698070,29;0,0446
REPUBLICANOS;2018;34808746,95;0,0446
REPUBLICANOS;2019;38841345,79;0,0523
PL;2008;6217742,68;0,0458
PL;2009;6941216,79;0,0447
PL;2010;7893531,65;0,0492
PL;2011;18312668,70;0,0690
PL;2012;19363624,85;0,0676
PL;2013;20635202,06;0,0701
PL;2014;20468060,41;0,0653
PL;2015;45951949,33;0,0566
PL;2016;41650988,18;0,0564
PL;2017;37563643,65;0,0564
PL;2018;44027892,69;0,0564
PL;2019;40575105,14;0,0546
PV;2008;5095529,34;0,0376
PV;2009;5886155,39;0,0379
PV;2010;5945933,21;0,0371
PV;2011;9435790,37;0,0356
PV;2012;10692199,51;0,0373
PV;2013;10108367,75;0,0344
PV;2014;9750907,75;0,0311
PV;2015;17144015,27;0,0211
PV;2016;15493782,46;0,0210
PV;2017;13973615,32;0,0210
PV;2018;16378298,63;0,0210
PV;2019;13501595,85;0,0182
REDE;2008; NA ;NA
REDE;2009; NA ;NA
REDE;2010; NA ;NA
REDE;2011; NA ;NA
REDE;2012; NA ;NA
REDE;2013; NA ;NA
REDE;2014; NA ;NA
REDE;2015;1008148,39;0,0012
REDE;2016;4431706,82;0,0060
REDE;2017;3997217,95;0,0060
REDE;2018;4685080,92;0,0060
REDE;2019;0,00;0,0000
PCB;2008;396350,46;0,0029
PCB;2009;450692,38;0,0029
PCB;2010;427965,19;0,0027
PCB;2011;669248,03;0,0025
PCB;2012;661736,47;0,0023
