"SG_UF","SG_UE","str_to_title(NM_UE)","final_name"
"AC","01007","Bujari","Bujari (AC)"
"AC","01120","Acrelândia","Acrelândia (AC)"
"AC","01392","Rio Branco","Rio Branco (AC)"
"AL","27006","Paripueira","Paripueira (AL)"
"AL","27014","Água Branca","Água Branca (AL)"
"AL","27057","Arapiraca","Arapiraca (AL)"
"AL","27111","Barra De São Miguel","Barra De São Miguel (AL)"
"AL","27251","Cajueiro","Cajueiro (AL)"
"AL","27278","Campo Alegre","Campo Alegre (AL)"
"AL","27332","Capela","Capela (AL)"
"AL","27456","Coruripe","Coruripe (AL)"
"AL","27472","Delmiro Gouveia","Delmiro Gouveia (AL)"
"AL","27537","Feliz Deserto","Feliz Deserto (AL)"
"AL","27618","Igaci","Igaci (AL)"
"AL","27650","Inhapi","Inhapi (AL)"
"AL","27715","Japaratinga","Japaratinga (AL)"
"AL","27812","Lagoa Da Canoa","Lagoa Da Canoa (AL)"
"AL","27855","Maceió","Maceió (AL)"
"AL","27898","Maragogi","Maragogi (AL)"
"AL","27936","Marechal Deodoro","Marechal Deodoro (AL)"
"AL","28096","Murici","Murici (AL)"
"AL","28258","Palmeira Dos Índios","Palmeira Dos Índios (AL)"
"AL","28274","Pão De Açúcar","Pão De Açúcar (AL)"
"AL","28339","Penedo","Penedo (AL)"
"AL","28355","Piaçabuçu","Piaçabuçu (AL)"
"AL","28410","Piranhas","Piranhas (AL)"
"AL","28452","Porto Calvo","Porto Calvo (AL)"
"AL","28630","São Brás","São Brás (AL)"
"AL","28690","São Luís Do Quitunde","São Luís Do Quitunde (AL)"
"AL","28711","São Miguel Dos Campos","São Miguel Dos Campos (AL)"
"AL","28819","Taquarana","Taquarana (AL)"
"AL","28851","União Dos Palmares","União Dos Palmares (AL)"
"AM","02003","Apuí","Apuí (AM)"
"AM","02020","Guajará","Guajará (AM)"
"AM","02194","Canutama","Canutama (AM)"
"AM","02259","Coari","Coari (AM)"
"AM","02356","Humaitá","Humaitá (AM)"
"AM","02518","Lábrea","Lábrea (AM)"
"AM","02534","Manacapuru","Manacapuru (AM)"
"AM","02550","Manaus","Manaus (AM)"
"AM","02615","Maués","Maués (AM)"
"AM","02690","Parintins","Parintins (AM)"
"AP","06050","Macapá","Macapá (AP)"
"AP","06076","Mazagão","Mazagão (AP)"
"AP","06130","Laranjal Do Jari","Laranjal Do Jari (AP)"
"AP","06157","Santana","Santana (AP)"
"AP","06084","Água Branca Do Amapari","Água Branca Do Amapari (AP)"
"BA","30007","Luís Eduardo Magalhães","Luís Eduardo Magalhães (BA)"
"BA","30660","Iuiu","Iuiu (BA)"
"BA","30759","Barro Alto","Barro Alto (BA)"
"BA","30775","Barrocas","Barrocas (BA)"
"BA","30813","Capela Do Alto Alegre","Capela Do Alto Alegre (BA)"
"BA","30830","Capim Grosso","Capim Grosso (BA)"
"BA","30872","Dias D Ávila","Dias D Ávila (BA)"
"BA","30899","Fátima","Fátima (BA)"
"BA","30910","Filadélfia","Filadélfia (BA)"
"BA","30996","João Dourado","João Dourado (BA)"
"BA","33014","Abaíra","Abaíra (BA)"
"BA","33030","Abaré","Abaré (BA)"
"BA","33073","Água Fria","Água Fria (BA)"
"BA","33090","Érico Cardoso","Érico Cardoso (BA)"
