"city","party"
"71072",99
"60011",25
"38490",25
"13897",90
"41238",55
"02550",19
"75353",25
"25313",40
"93734",15
"93734",55
"04278",50
"88013",99
"09210",19
"27855",15
"27855",40
"27855",99
"90514",55
"17612",45
"12190",15
"20516",99
"31054",12
"90670",15
"90670",99
"00035",99
"06050",99
"81051",25
"03018",15
"01392",45
"57053",99
"73440",45
"27332",99
"27715",11
"27898",11
"28355",10
"28452",15
"28690",15
"02259",99
"02518",15
"02615",20
"30007",55
"30007",99
"30759",22
"30872",99
"33359",55
"33472",11
"33812",40
"34070",25
"34134",99
"34290",11
"34550",11
"34592",11
"34630",40
"35017",22
"35130",12
"35157",13
"35157",15
"35599",55
"35637",55
"35815",55
"35890",55
"35971",22
"35971",99
"36080",55
"36510",99
"36617",11
"36854",13
"36854",99
"36919",55
"37214",45
"37737",40
"38067",13
"38130",15
"38270",55
"38350",40
"38679",10
"38679",11
"38733",55
"38806",15
"38865",11
"38890",11
"38954",12
"39098",13
"39390",12
"39411",55
"39438",15
"39659",13
"39748",40
"13471",77
"13714",15
"13919",12
"14478",14
"14478",99
"14575",12
"14630",13
"14699",12
"15679",55
"56073",40
"56111",99
"56200",40
"56235",40
"56251",99
"56294",20
"56332",99
"56359",19
"56359",99
"56391",23
"56472",45
"56472",99
"56596",43
"56618",55
"56634",15
"56693",40
"56693",99
"56715",15
"56774",99
"56812",99
"56979",45
"56995",12
"57010",19
"57037",99
"57134",23
"92061",15
"92215",13
"92274",15
"92339",10
"92363",40
"92649",25
"92703",55
"92770",15
"92975",55
"93025",99
"93270",25
"93300",45
"93343",99
"93610",99
"93718",25
"93793",11
"93971",19
"93971",99
"93998",99
"94250",99
"94358",11
"94374",90
"94455",25
"94498",25
"94595",15
"94595",25
"95354",25
"95451",99
"95559",19
"95710",25
"95737",14
"96253",25
"96334",45
"96474",45
"07064",20
"07080",70
"07102",22
"07110",10
"07137",15
"07153",65
"07196",14
"07234",12
"07234",99
"07293",14
"07315",22
"07439",65
"07471",25
"07579",10
