ANO,MÊS,PARTIDO,SEXO,FAIXA ,FILIADOS
2020,4,AVANTE,FEMININO,16 anos,50
2020,4,AVANTE,FEMININO,17 anos,97
2020,4,AVANTE,FEMININO,18 a 20 anos,829
2020,4,AVANTE,FEMININO,21 a 24 anos,"2,270"
2020,4,AVANTE,FEMININO,25 a 34 anos,"13,802"
2020,4,AVANTE,FEMININO,35 a 44 anos,"22,814"
2020,4,AVANTE,FEMININO,45 a 59 anos,"33,814"
2020,4,AVANTE,FEMININO,60 a 69 anos,"13,544"
2020,4,AVANTE,FEMININO,70 a 79 anos,"5,731"
2020,4,AVANTE,FEMININO,Inválida,3
2020,4,AVANTE,FEMININO,Superior a 79 anos,"2,516"
2020,4,AVANTE,MASCULINO,16 anos,36
2020,4,AVANTE,MASCULINO,17 anos,90
2020,4,AVANTE,MASCULINO,18 a 20 anos,875
2020,4,AVANTE,MASCULINO,21 a 24 anos,"2,556"
2020,4,AVANTE,MASCULINO,25 a 34 anos,"16,435"
2020,4,AVANTE,MASCULINO,35 a 44 anos,"28,783"
2020,4,AVANTE,MASCULINO,45 a 59 anos,"42,994"
2020,4,AVANTE,MASCULINO,60 a 69 anos,"16,022"
2020,4,AVANTE,MASCULINO,70 a 79 anos,"6,305"
2020,4,AVANTE,MASCULINO,Inválida,5
2020,4,AVANTE,MASCULINO,Superior a 79 anos,"2,442"
2020,4,AVANTE,NÃO INFORMADO,45 a 59 anos,36
2020,4,AVANTE,NÃO INFORMADO,60 a 69 anos,23
2020,4,AVANTE,NÃO INFORMADO,70 a 79 anos,31
2020,4,AVANTE,NÃO INFORMADO,Superior a 79 anos,12
2020,4,CIDADANIA,FEMININO,16 anos,34
2020,4,CIDADANIA,FEMININO,17 anos,60
2020,4,CIDADANIA,FEMININO,18 a 20 anos,599
2020,4,CIDADANIA,FEMININO,21 a 24 anos,"2,338"
2020,4,CIDADANIA,FEMININO,25 a 34 anos,"17,932"
2020,4,CIDADANIA,FEMININO,35 a 44 anos,"48,773"
