codigo_tse,urnas_apuradas,eleitorado,abstencoes,total_votos,abstencoes_pct,brancos_pct,nulos_pct,nome,numero,votos_validos,pct_votos_validos,eleito
01120,"100,00",9169,2076,7093,"22,64","0,76","2,68",CAETANO,11,2405,"35,11",Não eleito
01120,"100,00",9169,2076,7093,"22,64","0,76","2,68",HADAMÉS WILSON,12,1237,"18,06",Não eleito
01120,"100,00",9169,2076,7093,"22,64","0,76","2,68",OLAVINHO,15,2638,"38,52",Eleito
01120,"100,00",9169,2076,7093,"22,64","0,76","2,68",ROSA DO EURICO,90,569,"8,31",Não eleito
01570,"100,00",5913,995,4918,"16,83","0,49","2,62",ZUM,45,964,"20,23",Não eleito
01570,"100,00",5913,995,4918,"16,83","0,49","2,62",JOÃO JÚNIOR,15,387,"8,12",Não eleito
01570,"100,00",5913,995,4918,"16,83","0,49","2,62",PROFESSOR JERRY,13,1583,"33,22",Eleito
01570,"100,00",5913,995,4918,"16,83","0,49","2,62",ZE DO POSTO,55,1082,"22,71",Não eleito
01570,"100,00",5913,995,4918,"16,83","0,49","2,62",PILIQUE,65,749,"15,72",Não eleito
01058,"100,00",16844,3322,13522,"19,72","0,93","3,91",FERNANDA HASSEM,13,7651,"59,46",Eleito
01058,"100,00",16844,3322,13522,"19,72","0,93","3,91",MANOEL PRETE,45,627,"4,87",Não eleito
01058,"100,00",16844,3322,13522,"19,72","0,93","3,91",LEILA GALVÃO,15,4590,"35,67",Não eleito
01007,"100,00",9613,2226,7387,"23,16","1,07","3,48",MISSIONÁRIA FABRÍCIA,77,431,"6,11",Não eleito
01007,"100,00",9613,2226,7387,"23,16","1,07","3,48",PADEIRO,12,3386,"48,02",Eleito
01007,"100,00",9613,2226,7387,"23,16","1,07","3,48",JACARÉ,40,735,"10,42",Não eleito
01007,"100,00",9613,2226,7387,"23,16","1,07","3,48",ORLANDO DINIZ,13,188,"2,67",Não eleito
01007,"100,00",9613,2226,7387,"23,16","1,07","3,48",ROMUALDO ARAÚJO,11,2311,"32,78",Não eleito
01015,"100,00",7540,1432,6108,"18,99","0,70","2,75",SERRARIA,13,1228,"20,82",Não eleito
01015,"100,00",7540,1432,6108,"18,99","0,70","2,75",MANOEL MAIA,25,2627,"44,55",Eleito
01015,"100,00",7540,1432,6108,"18,99","0,70","2,75",ENFERMEIRO LAMARTINE,14,724,"12,28",Não eleito
01015,"100,00",7540,1432,6108,"18,99","0,70","2,75",JOÃOZINHO,15,1318,"22,35",Não eleito
01074,"100,00",55749,11216,44533,"20,12","1,30","3,24",SARGENTO ADONIS,17,9077,"21,35",Não eleito
01074,"100,00",55749,11216,44533,"20,12","1,30","3,24",ZEQUINHA LIMA,11,18766,"44,15",Eleito
01074,"100,00",55749,11216,44533,"20,12","1,30","3,24",FAGNER SALES,15,14666,"34,50",Não eleito
01112,"100,00",11732,2285,9447,"19,48","0,99","3,36",TIÃO FLORES,11,741,"8,20",Não eleito
01112,"100,00",11732,2285,9447,"19,48","0,99","3,36",EVERTON SOARES,17,3328,"36,83",Não eleito
01112,"100,00",11732,2285,9447,"19,48","0,99","3,36",DELEGADO SERGIO LOPES ,45,3984,"44,09",Eleito
01112,"100,00",11732,2285,9447,"19,48","0,99","3,36",NEIDE LOPES,13,983,"10,88",Não eleito
01139,"100,00",21561,5343,16218,"24,78","0,57","3,88",FRANCIMAR FERNANDES,15,5716,"36,89",Não eleito
01139,"100,00",21561,5343,16218,"24,78","0,57","3,88",MAURO DEFESON,13,706,"4,56",Não eleito
01139,"100,00",21561,5343,16218,"24,78","0,57","3,88",GERSON MEIRELES,17,546,"3,52",Não eleito
01139,"100,00",21561,5343,16218,"24,78","0,57","3,88",KIEFER CAVALCANTE,11,8528,"55,03",Eleito
01104,"100,00",5209,901,4308,"17,30","0,32","2,51",PROFESSORA NÁGELA,13,915,"21,86",Não eleito
01104,"100,00",5209,901,4308,"17,30","0,32","2,51",MARCEL RITHER,65,768,"18,35",Não eleito
01104,"100,00",5209,901,4308,"17,30","0,32","2,51",ZEINA MELO,15,1053,"25,16",Não eleito
01104,"100,00",5209,901,4308,"17,30","0,32","2,51",JOÃO DA MANGUABA,22,186,"4,44",Não eleito
01104,"100,00",5209,901,4308,"17,30","0,32","2,51",NAUDO RIBEIRO,12,1264,"30,20",Eleito
01554,"100,00",7209,1493,5716,"20,71","0,91","4,69",TANÍZO SÁ,15,3082,"57,12",Eleito
01554,"100,00",7209,1493,5716,"20,71","0,91","4,69",PASTOR ALDEMAR,55,2314,"42,88",Não eleito
01040,"100,00",10491,1875,8616,"17,87","0,17","2,65",CARLENE DE SÁ,13,3303,"39,45",
01040,"100,00",10491,1875,8616,"17,87","0,17","2,65",ISAAC PIYAKO,55,4521,"53,99",
01040,"100,00",10491,1875,8616,"17,87","0,17","2,65",SILVANO QUEIROZ,90,549,"6,56",
01090,"100,00",13141,2177,10964,"16,57","0,62","30,29",ISAAC LIMA,13,4115,"54,32",Eleito
01090,"100,00",13141,2177,10964,"16,57","0,62","30,29",CHICÃO,15,3460,"45,68",Não eleito
01511,"100,00",11964,2141,9823,"17,90","0,95","3,24",DOUTORA JOANA D&apos;ARC,17,94,"1,00",Não eleito
01511,"100,00",11964,2141,9823,"17,90","0,95","3,24",GEDEON BARROS,45,2800,"29,75",Não eleito
01511,"100,00",11964,2141,9823,"17,90","0,95","3,24",CAMILO DA SILVA,55,3838,"40,78",Eleito
01511,"100,00",11964,2141,9823,"17,90","0,95","3,24",TAVARES,15,2679,"28,47",Não eleito
01023,"100,00",12639,2613,10026,"20,67","1,37","3,57",BALAL GOMES,17,169,"1,77",Não eleito
01023,"100,00",12639,2613,10026,"20,67","1,37","3,57",ZÉ MARIA,15,2761,"28,97",Não eleito
01023,"100,00",12639,2613,10026,"20,67","1,37","3,57",BARÃOZINHO,10,1063,"11,15",Não eleito
01023,"100,00",12639,2613,10026,"20,67","1,37","3,57",BENÉ DAMASCENO,11,5415,"56,81",Eleito
01023,"100,00",12639,2613,10026,"20,67","1,37","3,57",MOACIR NOGUEIRA,40,123,"1,29",Não eleito
01066,"100,00",6570,912,5658,"13,88","0,37","3,78",CESAR ANDRADE,15,3411,"62,90",
01066,"100,00",6570,912,5658,"13,88","0,37","3,78",ARNOLDO LIMA,90,2012,"37,10",
01392,"100,00",256673,69904,186769,"27,23","1,80","3,18",JARBAS SOSTER,70,2294,"1,29",Não eleito
01392,"100,00",256673,69904,186769,"27,23","1,80","3,18",DANIEL ZEN,13,7121,"4,01",Não eleito
01392,"100,00",256673,69904,186769,"27,23","1,80","3,18",TIÃO BOCALOM,11,87987,"49,58",2º turno
01392,"100,00",256673,69904,186769,"27,23","1,80","3,18",MINORU KINPARA,45,25939,"14,62",Não eleito
01392,"100,00",256673,69904,186769,"27,23","1,80","3,18",JAMYL ASFURY,20,1509,"0,85",Não eleito
01392,"100,00",256673,69904,186769,"27,23","1,80","3,18",ROBERTO DUARTE,15,12362,"6,97",Não eleito
01392,"100,00",256673,69904,186769,"27,23","1,80","3,18",SOCORRO NERI,40,40250,"22,68",2º turno
01082,"100,00",11388,2085,9303,"18,31","0,41","3,16",DEMÉTRIO LIVAS,11,307,"3,42",
01082,"100,00",11388,2085,9303,"18,31","0,41","3,16",BURICA,13,2340,"26,08",
01082,"100,00",11388,2085,9303,"18,31","0,41","3,16",JAILSON AMORIM,90,5977,"66,63",
01082,"100,00",11388,2085,9303,"18,31","0,41","3,16",DR EMERSON,14,343,"3,82",
01082,"100,00",11388,2085,9303,"18,31","0,41","3,16",JAILSON EUGENIO,50,4,"0,04",
01031,"100,00",3566,574,2992,"16,10","0,47","3,71",RIVELINO MOTA,77,22,"0,77",Não eleito
01031,"100,00",3566,574,2992,"16,10","0,47","3,71",ALDO MOURA,45,579,"20,20",Não eleito
01031,"100,00",3566,574,2992,"16,10","0,47","3,71",ODEIZA GOMES,90,94,"3,28",Não eleito
01031,"100,00",3566,574,2992,"16,10","0,47","3,71",ASSIS MOURA,11,1016,"35,44",Não eleito
01031,"100,00",3566,574,2992,"16,10","0,47","3,71",TAMIR DE SÁ,15,1156,"40,32",Eleito
01457,"100,00",28985,6603,22382,"22,78","1,05","2,84",GERLEN DINIZ,11,9329,"43,37",Não eleito
01457,"100,00",28985,6603,22382,"22,78","1,05","2,84",MAZINHO SERAFIM,15,12183,"56,63",Eleito
01538,"100,00",17552,3412,14140,"19,44","1,48","2,21",GILSON DA FUNERÁRIA,77,3993,"29,32",Não eleito
01538,"100,00",17552,3412,14140,"19,44","1,48","2,21",BRANCA MENEZES,45,1662,"12,20",Não eleito
01538,"100,00",17552,3412,14140,"19,44","1,48","2,21",ROSANA GOMES,11,4428,"32,52",Eleito
01538,"100,00",17552,3412,14140,"19,44","1,48","2,21",JOÃO CARVALHO,17,263,"1,93",Não eleito
01538,"100,00",17552,3412,14140,"19,44","1,48","2,21",ANDRÉ MAIA,15,3272,"24,03",Não eleito
01473,"100,00",26354,6705,19649,"25,44","1,01","4,52",JUNIOR FEITOSA,15,3634,"19,58",Não eleito
01473,"100,00",26354,6705,19649,"25,44","1,01","4,52",MARIA LUCINÉIA,12,5461,"29,42",Eleito
01473,"100,00",26354,6705,19649,"25,44","1,01","4,52",R SETE,14,57,"0,31",Não eleito
01473,"100,00",26354,6705,19649,"25,44","1,01","4,52",ABDIAS DA FARMACIA,25,4650,"25,05",Não eleito
01473,"100,00",26354,6705,19649,"25,44","1,01","4,52",BATISTA,65,4480,"24,14",Não eleito
01473,"100,00",26354,6705,19649,"25,44","1,01","4,52",PROFESSOR BASTO VIANA,50,280,"1,51",Não eleito
01490,"100,00",11399,2171,9228,"19,05","0,82","3,85",CARLOS VENÍCIUS,15,1443,"16,40",Não eleito
01490,"100,00",11399,2171,9228,"19,05","0,82","3,85",CARLA MENDONÇA,11,2338,"26,58",Não eleito
01490,"100,00",11399,2171,9228,"19,05","0,82","3,85",BIRA VASCONCELOS,13,3815,"43,37",Eleito
01490,"100,00",11399,2171,9228,"19,05","0,82","3,85",GESSI CAPELÃO,55,1201,"13,65",Não eleito
27030,"100,00",12411,2897,9514,"23,34","1,10","3,63",CELINO ROCHA,11,5456,"60,19",Eleito
27030,"100,00",12411,2897,9514,"23,34","1,10","3,63",PAULO DÂMASO,15,3504,"38,66",Não eleito
27030,"100,00",12411,2897,9514,"23,34","1,10","3,63",ANDERSON PROMOFESTA,90,104,"1,15",Não eleito
27057,"100,00",143187,27409,115778,"19,14","2,13","4,07",FABIANA PESSOA,10,20874,"19,22",Não eleito
27057,"100,00",143187,27409,115778,"19,14","2,13","4,07",GILVANIA BARROS,77,7021,"6,47",Não eleito
27057,"100,00",143187,27409,115778,"19,14","2,13","4,07",HECTOR MARTINS,23,2101,"1,93",Não eleito
27057,"100,00",143187,27409,115778,"19,14","2,13","4,07",CLÁUDIO CANUTO,51,2517,"2,32",Não eleito
27057,"100,00",143187,27409,115778,"19,14","2,13","4,07",LUCIANO BARBOSA,15,59249,"54,56",Não eleito
27057,"100,00",143187,27409,115778,"19,14","2,13","4,07",TARCIZO FREIRE,11,16376,"15,08",Não eleito
27057,"100,00",143187,27409,115778,"19,14","2,13","4,07",LINDOMAR FERREIRA,50,460,"0,42",Não eleito
27073,"100,00",30331,6701,23630,"22,09","1,03","3,99",CHICO VIGARIO,15,8198,"36,53",Não eleito
27073,"100,00",30331,6701,23630,"22,09","1,03","3,99",JOTA JÉO,19,41,"0,18",Não eleito
27073,"100,00",30331,6701,23630,"22,09","1,03","3,99",PROFESSOR LESSO,13,147,"0,65",Não eleito
27073,"100,00",30331,6701,23630,"22,09","1,03","3,99",CECI ROCHA,20,14057,"62,63",Eleito
27090,"100,00",11987,2224,9763,"18,55","1,32","4,34",EMANUELLA MOURA,25,4311,"46,81",Não eleito
27090,"100,00",11987,2224,9763,"18,55","1,32","4,34",LIVIA CARLA,14,4899,"53,19",Eleito
27111,"100,00",6897,1170,5727,"16,96","1,61","4,26",ANGELA STEMLER,65,182,"3,38",Não eleito
27111,"100,00",6897,1170,5727,"16,96","1,61","4,26",SILAS,14,1992,"36,95",Não eleito
27111,"100,00",6897,1170,5727,"16,96","1,61","4,26",TACIANE FERRO,55,317,"5,88",Não eleito
27111,"100,00",6897,1170,5727,"16,96","1,61","4,26",BIU DE LIRA,11,2900,"53,79",Eleito
27138,"100,00",12705,2075,10630,"16,33","1,69","4,61",MARINA DANTAS,15,5739,"57,62",Eleito
27138,"100,00",12705,2075,10630,"16,33","1,69","4,61",ROMEU POLICIAL,70,645,"6,48",Não eleito
27138,"100,00",12705,2075,10630,"16,33","1,69","4,61",PAULO JOSÉ,40,181,"1,82",Não eleito
27138,"100,00",12705,2075,10630,"16,33","1,69","4,61",LUCIANO MELO,25,3377,"33,91",Não eleito
27138,"100,00",12705,2075,10630,"16,33","1,69","4,61",ZÉ PAULO,22,18,"0,18",Não eleito
27170,"100,00",5789,758,5031,"13,09","0,72","2,56",DALMINHO,14,2713,"55,75",Eleito
27170,"100,00",5789,758,5031,"13,09","0,72","2,56",TOINHO CINTRA,15,2153,"44,25",Não eleito
27154,"100,00",4836,947,3889,"19,58","1,59","4,35",PAULA SANTA ROSA,15,2160,"59,05",Eleito
27154,"100,00",4836,947,3889,"19,58","1,59","4,35",BEL,20,1457,"39,83",Não eleito
27154,"100,00",4836,947,3889,"19,58","1,59","4,35",FLAVIO BARBOSA,55,32,"0,87",Não eleito
27154,"100,00",4836,947,3889,"19,58","1,59","4,35",PROFESSOR MINERVINO,51,9,"0,25",Não eleito
27197,"100,00",19280,4752,14528,"24,65","1,72","5,03",ZEZINHO TENORIO,22,6752,"49,84",Não eleito
27197,"100,00",19280,4752,14528,"24,65","1,72","5,03",BRUNO FEIJO,15,6796,"50,16",Eleito
27219,"100,00",8748,2113,6635,"24,15","1,23","5,34",NENO FREITAS,15,4002,"64,56",Eleito
