codigo_ibge,nome,unneeded,rendamediana
"1100015","Alta Floresta D'Oeste (RO)","Total","340.00"
"1100023","Ariquemes (RO)","Total","500.00"
"1100031","Cabixi (RO)","Total","340.00"
"1100049","Cacoal (RO)","Total","500.00"
"1100056","Cerejeiras (RO)","Total","435.00"
"1100064","Colorado do Oeste (RO)","Total","406.00"
"1100072","Corumbiara (RO)","Total","350.00"
"1100080","Costa Marques (RO)","Total","300.00"
"1100098","Espigão D'Oeste (RO)","Total","425.00"
"1100106","Guajará-Mirim (RO)","Total","370.00"
"1100114","Jaru (RO)","Total","425.50"
"1100122","Ji-Paraná (RO)","Total","500.00"
"1100130","Machadinho D'Oeste (RO)","Total","302.00"
"1100148","Nova Brasilândia D'Oeste (RO)","Total","340.00"
"1100155","Ouro Preto do Oeste (RO)","Total","431.00"
"1100189","Pimenta Bueno (RO)","Total","475.00"
"1100205","Porto Velho (RO)","Total","560.00"
"1100254","Presidente Médici (RO)","Total","375.00"
"1100262","Rio Crespo (RO)","Total","300.00"
"1100288","Rolim de Moura (RO)","Total","482.33"
"1100296","Santa Luzia D'Oeste (RO)","Total","346.67"
"1100304","Vilhena (RO)","Total","510.00"
"1100320","São Miguel do Guaporé (RO)","Total","278.00"
"1100338","Nova Mamoré (RO)","Total","270.00"
"1100346","Alvorada D'Oeste (RO)","Total","350.00"
"1100379","Alto Alegre dos Parecis (RO)","Total","256.00"
"1100403","Alto Paraíso (RO)","Total","355.00"
"1100452","Buritis (RO)","Total","344.00"
"1100502","Novo Horizonte do Oeste (RO)","Total","255.00"
"1100601","Cacaulândia (RO)","Total","352.50"
"1100700","Campo Novo de Rondônia (RO)","Total","260.00"
"1100809","Candeias do Jamari (RO)","Total","375.00"
"1100908","Castanheiras (RO)","Total","370.00"
"1100924","Chupinguaia (RO)","Total","400.00"
"1100940","Cujubim (RO)","Total","355.00"
"1101005","Governador Jorge Teixeira (RO)","Total","265.50"
"1101104","Itapuã do Oeste (RO)","Total","340.00"
"1101203","Ministro Andreazza (RO)","Total","333.33"
"1101302","Mirante da Serra (RO)","Total","320.00"
"1101401","Monte Negro (RO)","Total","346.67"
"1101435","Nova União (RO)","Total","293.33"
"1101450","Parecis (RO)","Total","255.00"
"1101468","Pimenteiras do Oeste (RO)","Total","400.00"
"1101476","Primavera de Rondônia (RO)","Total","356.67"
"1101484","São Felipe D'Oeste (RO)","Total","300.00"
"1101492","São Francisco do Guaporé (RO)","Total","333.33"
"1101500","Seringueiras (RO)","Total","250.00"
"1101559","Teixeirópolis (RO)","Total","405.50"
"1101609","Theobroma (RO)","Total","292.50"
"1101708","Urupá (RO)","Total","300.00"
"1101757","Vale do Anari (RO)","Total","255.00"
"1101807","Vale do Paraíso (RO)","Total","255.00"
"1200013","Acrelândia (AC)","Total","233.33"
"1200054","Assis Brasil (AC)","Total","218.00"
"1200104","Brasiléia (AC)","Total","227.50"
"1200138","Bujari (AC)","Total","255.00"
"1200179","Capixaba (AC)","Total","255.00"
"1200203","Cruzeiro do Sul (AC)","Total","258.00"
"1200252","Epitaciolândia (AC)","Total","277.50"
"1200302","Feijó (AC)","Total","146.80"
"1200328","Jordão (AC)","Total","86.40"
"1200336","Mâncio Lima (AC)","Total","183.33"
"1200344","Manoel Urbano (AC)","Total","241.25"
"1200351","Marechal Thaumaturgo (AC)","Total","107.33"
"1200385","Plácido de Castro (AC)","Total","250.00"
"1200393","Porto Walter (AC)","Total","150.00"
"1200401","Rio Branco (AC)","Total","425.00"
