,fala_id,candidato,tema,ordem,tipo,Num. sílabas,Num. pausas,Duração,Tempo de fala,Ritmo de fala,Ritmo de articulação,intensity mean,intensity quant,pitch mean,pitch var fala,pitch var sil
0,62_tatto_transporte_r,Tatto,transporte,62,resposta,205,10,45.75533333333333,40.06966666666667,4.480352017251176,5.116089477493365,68.0957247690903,70.2136801145359,150.39089479039785,40.48811863755326,12.891561472492201
1,107_covas_racismo_p,Covas,racismo,107,pergunta,114,12,35.51533333333333,26.65599999999999,3.209881178082706,4.276710684273711,70.22154351038824,72.80819379881012,116.8528092087702,25.28797384455696,17.5306775321205
2,16_joice_corrupcao_p,Joice,corrupcao,16,pergunta,162,9,31.419333333333334,26.677666666666674,5.156061023997963,6.072495095772992,64.7792865133917,66.29487057265257,269.59949024474315,63.21370686596092,23.208646984662487
3,39_russomano_educacao_r,Russomano,educacao,39,resposta,140,12,36.198,25.967999999999993,3.867616995414111,5.391250770178683,68.53486304992182,70.64639728795498,158.0251754947144,54.296241590062884,16.76366228847255
4,84_sabara_enchentes_c,Sabara,enchentes,84,resposta,153,4,34.15,31.205999999999996,4.480234260614934,4.902903287829265,68.3256257505117,70.66577042169564,147.32045695854583,73.4150829338061,13.006591973031634
5,125_joice_emprego_p,Joice,emprego,125,pergunta,135,7,31.419333333333334,26.56,4.296717519998302,5.082831325301205,71.05175645388026,73.4759056633401,288.95650563532877,71.30184335953699,24.364034285204827
6,123_tatto_transporte_p,Tatto,transporte,123,pergunta,92,11,28.006,18.896,3.2850103549239447,4.868755292125317,71.1762470327564,73.61320164445642,152.864801362254,28.003170315424708,14.78205500104774
7,53_franca_aliancas-sustentabilidade_r,Franca,aliancas sustentabilidade,53,resposta,283,8,53.26466666666666,48.19199999999999,5.313090604152847,5.872343957503321,66.7261956170801,68.87080785813643,125.34603432787485,21.484416822395744,10.578498827209001
8,17_russomano_corrupcao_r,Russomano,corrupcao,17,resposta,189,13,48.486,36.416000000000004,3.898032421729984,5.1900263620386635,64.308977982358,66.64642399606907,162.62179238839335,76.51608196741773,14.517953231173992
9,83_marina_enchentes_r,Marina,enchentes,83,resposta,251,8,47.803333333333335,42.92800000000001,5.250679868907328,5.846999627282891,68.82645529464763,71.08064940358047,261.9510426266501,35.44685717893331,27.097442447248213
10,124_covas_aliancas_r,Covas,aliancas,124,resposta,120,13,34.83266666666667,25.136000000000003,3.4450420103734043,4.774029280712921,69.86648490231615,72.80118581384542,122.79470654929335,42.70233440041679,8.626427668113188
11,106_orlando_racismo_r,Orlando,racismo,106,resposta,224,16,49.851333333333336,41.248,4.493360257833291,5.430566330488752,71.41551773541264,74.29125646776825,175.21839673853106,42.59508692474354,16.783953055374766
