,fala_id,candidato,tema,Num. sílabas,Num. pausas,Duração,Tempo de fala,Ritmo de fala,Ritmo de articulação,intensity mean,intensity quant,pitch mean,pitch var fala,pitch var sil
49,boulos_8_russomano.wav,Boulos,russomano,191,16,46.79414583333333,38.08507291666666,4.081707157991184,5.015088205763031,71.24242039935709,74.19431530019664,119.29908875614971,46.0147640553524,12.401766022670872
20,boulos_10_transporte.wav,Boulos,transporte,125,11,28.9045625,23.759999999999998,4.32457678610427,5.260942760942761,69.36480356738403,72.67512803737495,108.49187251212228,19.188889728952233,11.986780719402823
64,boulos_0_moradia-movimentossociais.wav,Boulos,moradia movimentossociais,413,39,104.3953125,82.34165625000004,3.956116324667355,5.015687305901134,71.2485985909882,74.06703196783782,120.83808101903752,36.419499245892695,12.959441332586438
3,boulos_1_doria.wav,Boulos,doria,170,17,44.541041666666665,34.39052083333333,3.8167046310284993,4.943222605550827,71.75066273588764,74.81179015030011,140.41501877105208,46.53032996305721,16.021628416058054
4,boulos_9_moradia.wav,Boulos,moradia,101,6,24.29125,20.897624999999998,4.157875778315237,4.833085099383304,71.27973350284725,73.5232402259938,111.8966087472605,22.866522485463978,10.326792930955662
30,boulos_3_saude.wav,Boulos,saude,246,30,64.5060625,49.68503125000001,3.8135950400010854,4.951189398718552,72.47953163443792,75.05892204235775,115.08027632907965,43.8918193623454,10.205693019695302
59,boulos_12_consideracoes-finais.wav,Boulos,consideracoes finais,216,26,56.63097916666667,42.33948958333333,3.8141667895994793,5.10162031062904,70.34251703302893,73.6727576605784,106.42622660126219,17.11916547393255,10.113729530281706
56,boulos_6_experiencia.wav,Boulos,experiencia,663,78,186.63164583333332,130.192,3.55245219555142,5.092478800540739,71.4282133559572,74.51573590483056,115.78257627879476,30.35834951625424,11.87608672637901
55,boulos_2_saude.wav,Boulos,saude,98,9,23.625,17.972500000000004,4.148148148148148,5.452775073028237,69.63958605772306,72.52888257262951,113.52115950420561,18.82554702503814,12.442502493513846
18,boulos_4_equipe.wav,Boulos,equipe,289,23,66.96666666666667,56.371333333333325,4.315579890492782,5.126719254467401,71.3362697304038,74.55758613006351,116.47951980481784,26.930615920676107,10.985782910437987
41,boulos_7_experiencia.wav,Boulos,experiencia,311,23,73.51366666666667,62.17599999999999,4.23050589232841,5.001930005146681,70.29046704276105,73.62640126383232,111.59387362418981,26.090243675451067,11.781716004561485
13,boulos_11_candidatura.wav,Boulos,candidatura,93,11,26.298291666666668,18.143999999999995,3.536351378971067,5.125661375661377,68.72252061010205,72.28605411060269,102.53053536067694,20.295779893223266,8.897638670205371
46,boulos_5_orcamento.wav,Boulos,orcamento,850,87,209.54375,166.368,4.056432129328601,5.10915560684747,71.1221069325678,74.44924104706062,125.00399856565018,41.416450647893186,12.672345346046239
66,covas_13_moradia.wav,Covas,moradia,208,17,62.7370625,54.832531249999995,3.3154245945130123,3.793368558012722,72.05676451677635,74.97225415822409,119.15884040415757,21.425197918401263,11.240495672317937
34,covas_15_covid.wav,Covas,covid,107,14,36.2644375,27.824,2.950549005482299,3.845600920069005,70.02667191321355,72.82239303020985,106.93508218024667,13.587552979082275,8.07590851185241
0,covas_9_creches.wav,Covas,creches,548,54,158.54127083333333,132.5186354166666,3.4565132291394685,4.135267453343238,73.48298154750582,76.43592133418778,125.4545272000746,27.422816640623584,11.642705802223363
27,covas_5_saude.wav,Covas,saude,214,26,65.24125,53.732625000000006,3.2801333512156807,3.9826827741991013,72.74823564616156,75.78610164815129,112.96035697759238,18.151558191946453,8.927509410857715
50,covas_11_infraestrutura.wav,Covas,infraestrutura,154,13,41.937625,34.9128125,3.6721202023242854,4.410988086393784,72.47316582980217,75.09984443741246,116.43862852090831,24.14224423939148,11.392174152032448
52,covas_4_saude.wav,Covas,saude,447,45,132.29791666666668,110.60799999999995,3.378738012377368,4.041299001880517,72.8505127238766,75.83044534123297,122.40545210292184,21.264597914602003,9.038368949395407
61,covas_12_infraestrutura.wav,Covas,infraestrutura,150,11,40.327979166666665,35.059989583333326,3.7195020206711327,4.278381191285533,73.52447977427268,76.12171062224927,122.34745043341128,23.22328507680174,12.02745831381172
65,covas_7_orcamento.wav,Covas,orcamento,67,5,21.521020833333335,18.272000000000002,3.11323521866702,3.6668126094570925,71.17897221257525,73.10386839782402,104.42651104096262,15.108049659343399,6.7758716255788425
47,covas_2_experiencia.wav,Covas,experiencia,79,9,21.2228125,16.52799999999999,3.722409553399202,4.779767666989354,70.49932182226324,72.95352041424405,115.82580735460097,18.83871412938454,9.055219906503542
24,covas_3_doria.wav,Covas,doria,307,28,87.8480625,74.89600000000003,3.4946701300327483,4.099017303994871,71.28840416554546,74.04975787780077,113.32937303839915,20.820179101202932,9.336571866539362
