,candidato,tema,duração total de falas
0,Boulos,economia,1140.9162131519276
1,Boulos,covid/saúde,1117.7889536564626
2,Boulos,moradia,736.650585175737
3,Boulos,terceirização/serv. público,586.542380952381
4,Boulos,polarização/radicalismo,580.4500680272108
5,Boulos,ricardo nunes,517.1283446712018
6,Boulos,considerações finais,454.92633517573694
7,Boulos,alianças,446.016121031746
8,Boulos,responsabilidade fiscal,432.78150510204085
9,Boulos,segurança,345.866462585034
10,Boulos,experiencia,322.0786458333333
11,Boulos,racismo/minorias,278.9719319727891
12,Boulos,participacao popular,215.8568253968254
13,Boulos,equipe,200.4604761904762
14,Boulos,renda básica,158.2195328798186
15,Boulos,fake news,120.49061224489796
16,Boulos,infraestrutura,119.14299787414967
17,Boulos,apresentacao,116.20757369614513
18,Boulos,lixo,110.96666666666667
19,Boulos,corrupção,107.06666666666666
20,Boulos,cracolandia,106.19999999999999
21,Boulos,educação,93.6936507936508
22,Boulos,cultura,85.23024943310658
23,Boulos,etica,71.71333333333334
24,Boulos,seguranca,59.26666666666666
25,Boulos,russomano,46.79414583333333
26,Boulos,candidatura,26.29829166666667
27,Boulos,creches,7.749773242630385
28,Covas,covid/saúde,1712.4186887755102
29,Covas,economia,870.2705442176871
30,Covas,terceirização/serv. público,811.2011791383219
31,Covas,responsabilidade fiscal,465.7917585034013
32,Covas,infraestrutura,463.54960657596365
33,Covas,corrupção,409.23578231292515
34,Covas,moradia,377.2703958333334
35,Covas,creches,355.96419600340136
36,Covas,considerações finais,345.0766710600907
37,Covas,alianças,307.2676543367347
38,Covas,segurança,305.79206349206345
39,Covas,ricardo nunes,272.3786167800453
40,Covas,racismo/minorias,267.3010839002268
41,Covas,educação,264.5262358276644
42,Covas,cracolandia,261.2686666666667
43,Covas,lixo,214.89999999999998
44,Covas,equipe,123.08344671201813
45,Covas,cosideracoes finais,121.46462585034014
46,Covas,apresentacao,115.7238095238095
47,Covas,geral,112.98537414965986
48,Covas,ciclovias,96.83954648526077
49,Covas,reeleicao,77.47435374149659
50,Covas,meio ambiente,56.7941723356009
51,Covas,obras,49.16866666666667
52,Covas,cultura,34.83266666666667
53,Covas,ferias,29.37716553287982
54,Covas,experiencia,21.2228125
