codigo_cidade_tse,urnas_apuradas,eleitorado,abstencoes,total_votos,abstencoes_pct,brancos_pct,nulos_pct,nome,numero,votos_validos,pct_votos_validos,eleito
01392,"100,00",256673,82424,174249,"32,11","1,91","2,57",SOCORRO NERI,40,61702,"37,07",Não eleito
01392,"100,00",256673,82424,174249,"32,11","1,91","2,57",TIÃO BOCALOM,11,104746,"62,93",Eleito
27855,"100,00",592388,164739,427649,"27,81","2,97","8,44",JHC,40,222147,"58,64",Eleito
27855,"100,00",592388,164739,427649,"27,81","2,97","8,44",ALFREDO GASPAR DE MENDONÇA,15,156704,"41,36",Não eleito
02550,"100,00",1331613,298712,1032901,"22,43","4,19","7,64",AMAZONINO MENDES,19,443747,"48,73",Não eleito
02550,"100,00",1331613,298712,1032901,"22,43","4,19","7,64",DAVID ALMEIDA,70,466970,"51,27",Eleito
35157,"100,00",400549,75404,325145,"18,83","1,63","5,21",ZÉ NETO,13,138073,"45,58",Não eleito
35157,"100,00",400549,75404,325145,"18,83","1,63","5,21",COLBERT MARTINS,15,164831,"54,42",Eleito
39659,"100,00",231176,41994,189182,"18,17","1,25","3,44",ZÉ RAIMUNDO,13,82942,"46,00",Não eleito
39659,"100,00",231176,41994,189182,"18,17","1,25","3,44",HERZEM GUSMÃO,15,97364,"54,00",Eleito
13730,"100,00",222128,41365,180763,"18,62","2,92","6,56",VITOR VALIM,90,83588,"51,08",Eleito
13730,"100,00",222128,41365,180763,"18,62","2,92","6,56",NAUMI AMORIM,55,80045,"48,92",Não eleito
13897,"100,00",1821382,414959,1406423,"22,78","2,50","5,53",CAPITÃO WAGNER,90,624892,"48,31",Não eleito
13897,"100,00",1821382,414959,1406423,"22,78","2,50","5,53",SARTO,12,668652,"51,69",Eleito
56251,"100,00",262414,78541,183873,"29,93","5,32","6,32",CELIA TAVARES,13,67111,"41,31",Não eleito
56251,"100,00",262414,78541,183873,"29,93","5,32","6,32",EUCLERIO SAMPAIO,25,95356,"58,69",Eleito
56995,"100,00",327670,104526,223144,"31,90","3,64","5,01",FABIO,18,91931,"45,10",Não eleito
