"nivel";"ano";"codigo_assunto";"nome_assunto";"dispositivo_legal_assunto";"denuncias";"tempo_mediano"
"Estado";2020;9938;"Violência Doméstica Contra a Mulher ";"Lei Federal n. 11340/06.";8045;42
"Estado";2020;9444;"Lesão corporal decorrente de violência doméstica";"Art. 129, § 9º e 11, CP.";7481;54
"Estado";2020;9683;"Tráfico de Drogas e Condutas Afins";"Art. 33, Lei Federal nº 11.343/06.";6779;12
"Estado";2020;9460;"Ameaça";"Art. 147, CP.";6178;44
"Estado";2020;9498;"Roubo Majorado";"Art. 157, § 2º, CP.";5484;14
"Estado";2020;9689;"Associação para a Produção e Tráfico e Condutas Afins";"Art. 35, Lei Federal nº 11.343/06.";3324;14
"Estado";2020;9439;"Leve ";"Art. 129, caput, CP.";2929;171
"Estado";2020;9474;"Furto";"Art. 155, CP.";2557;21
"Estado";2020;9477;"Roubo";"Art. 157, caput, CP.";2314;14
"Estado";2020;9475;"Furto Qualificado";"Art. 155, §4º, CP.";1983;19
"Estado";2020;9493;"Receptação";"Art. 180, caput, CP.";1640;18
"Estado";2020;9431;"Homicídio Qualificado";"Art. 121, § 2º, CP.";1540;40
"Estado";2020;9555;"Estupro de vulnerável";"Art. 217-A, CP.";800;70,5
"Estado";2020;9489;"Estelionato";"Art. 171, CP.";764;84
"Estado";2020;9851;"Resistência";"Art. 329, CP.";694;17
"Estado";2020;9771;"Corromper ou facilitar a corrupção de menor de 18 anos, com ele praticando infração penal ou induzindo-o a praticar";"Art. 244-B, Lei Federal nº 8069/90 (ECA).";624;15
"Estado";2020;9736;"Porte Ilegal de Arma de Fogo de Uso Permitido ";"Art. 14, Lei Federal nº 10.826/03.";580;14
"Estado";2020;9457;"Injúria";"Art. 140, CP.";529;154
"Estado";2020;6546;"Posse de Drogas para Consumo Pessoal ";"Art. 28, Lei Federal nº 11343/2006";515;123
"Estado";2020;9727;"Condução de veículo automotor sob efeito de álcool ou de outra substância psicoativa que determine dependência";"Art. 306,  Lei Federal nº 9503/97.";510;15
"Estado";2020;9846;"Contravenções Penais";"Arts. 18 a 70, Decreto-Lei nº 3688/41.";467;33
"Estado";2020;9694;"Tráfico Ilícito de Drogas praticado por Funcionário Público";"Art. 40, Lei Federal nº 11.343/06.";455;12
"Estado";2020;9738;"Posse ou Porte Ilegal de Arma de Fogo de Uso Restrito";"Art. 16, Lei Federal nº 10.826/03.";443;14
"Estado";2020;9441;"Grave ";"Art. 129, § 1º, CP.";399;208
"Estado";2020;9464;"Violação de domicílio";"Art. 150, CP.";398;40
"Estado";2020;6669;"Jogo do Bicho ";"Decreto-Lei 3.688/41 - LCP";389;281
"Estado";2020;6950;"Associação Criminosa";"Art. 288, CP.";366;189
"Estado";2020;9429;"Homicídio Simples";"Art. 121, CP.";355;67
"Estado";2020;9924;"Concurso Formal *C";"Art. 70, CP.";338;16
"Estado";2020;9858;"Desacato";"Art. 331, CP.";328;179
"Estado";2020;9541;"Estupro";"Art. 213, CP.";291;85
"Estado";2020;9743;"Porte, Posse, Aquisição,Transporte ou Fornecimento de Arma de Fogo com Numeração, Marca ou Outro Sinal de Identificação Raspado, Suprimido ou Adulterado";"Art. 16, inc. IV, Lei Federal nº 10.826/03.";271;10
"Estado";2020;9478;"Extorsão";"Art. 158, CP.";265;31
"Estado";2020;9684;"Posse de Drogas para Consumo Pessoal";"Art. 28, Lei Federal nº 11.343/06.";262;146,5
"Estado";2020;9734;"Posse Irregular de Arma[s] de Fogo de Uso Permitido ";"Art. 12, Lei Federal nº 10.826/03.";239;14
"Estado";2020;9615;"Quadrilha ou Bando";"Art. 288, CP.";226;23
"Estado";2020;9484;"Dano";"Art. 163, CP.";213;91
"Estado";2020;9723;"Lesão corporal culposa na direção de veículo automotor";"Art. 303, Lei Federal nº 9503/97. ";202;331,5
"Estado";2020;11375;"Importunação Sexual";"Art. 215-A do Código Penal";199;26
"Estado";2020;9632;"Uso de documento falso";"Art. 304,  CP.";199;177
"Estado";2020;9857;"Desobediência";"Art. 330, CP.";185;136
"Estado";2020;9518;"Receptação Qualificada";"Art. 180, § 1º, CP.";181;25
"Estado";2020;9925;"Crime Continuado *C";"Art. 71, CP.";181;26
"Estado";2020;9730;"Direção de Veículo sem Habilitação ";"Art. 309,  Lei Federal nº 9503/97";173;169
"Estado";2020;9503;"Dano Qualificado";"Art. 163, § único, CP.";170;29
"Estado";2020;6951;"Promoção, constituição, financiamento ou integração de Organização Criminosa";"Lei 12.850/2013, artigo 2";162;478
"Estado";2020;9494;"Apropriação indébita";"Art. 168, caput, CP.";155;287
"Estado";2020;9722;"Homicídio culposo na direção de veículo automotor ";"Art. 302, Lei Federal nº 9503/97.";154;338,5
"Estado";2020;6518;"Furto de energia elétrica (ou outra de valor econômico)";"Art. 155, § 3º, CP.";148;46
"Estado";2020;6976;"Feminicídio (Lei n° 13.104/2015)";"Art. 121, parágrafo 2º, VI (Lei n° 13.104/2015)";145;25
"Estado";2020;9461;"Seqüestro e cárcere privado";"Art. 148, CP.";137;33
"Estado";2020;9638;" Adulteração de Sinal Identificador de Veículo Automotor";"Art. 311, CP.";133;18
"Estado";2020;9443;"Privilegiada";"Art. 129, § 4º, CP.";127;233
"Estado";2020;9691;"Colaboração com Grupo, Organização ou Associação Destinados à Produção ou Tráfico de Drogas";"Art. 37, Lei Federal nº 11.343/06.";121;13
"Estado";2020;9459;"Constrangimento ilegal";"Art. 146, CP.";106;35,5
"Estado";2020;9585;"Incêndio";"Art. 250, CP.";104;46
"Estado";2020;9853;"Corrupção ativa";"Art. 333, CP.";98;10
"Estado";2020;9499;"Latrocínio";"Art. 157, §3º, segunda parte, CP.";95;30
"Estado";2020;9868;"Denunciação caluniosa";"Art. 339, CP.";95;148
