cisp;area_atuacao_dk;area_atuacao_dscr
11;1;Territorial - Zona Sul/Barra
15;1;Territorial - Zona Sul/Barra
14;1;Territorial - Zona Sul/Barra
16;1;Territorial - Zona Sul/Barra
42;1;Territorial - Zona Sul/Barra
9;2;Territorial - Botafogo/Copacabana
10;2;Territorial - Botafogo/Copacabana
12;2;Territorial - Botafogo/Copacabana
13;2;Territorial - Botafogo/Copacabana
6;3;Territorial - Centro/Zona Portuária
17;3;Territorial - Centro/Zona Portuária
1;3;Territorial - Centro/Zona Portuária
4;3;Territorial - Centro/Zona Portuária
5;3;Territorial - Centro/Zona Portuária
7;3;Territorial - Centro/Zona Portuária
24;4;Territorial - Méier/Tijuca
26;4;Territorial - Méier/Tijuca
23;4;Territorial - Méier/Tijuca
25;4;Territorial - Méier/Tijuca
44;4;Territorial - Méier/Tijuca
20;4;Territorial - Méier/Tijuca
18;4;Territorial - Méier/Tijuca
19;4;Territorial - Méier/Tijuca
21;5;Territorial - Ilha/Bonsucesso
37;5;Territorial - Ilha/Bonsucesso
22;6;Territorial - Penha/Irajá
38;6;Territorial - Penha/Irajá
31;6;Territorial - Penha/Irajá
27;6;Territorial - Penha/Irajá
39;6;Territorial - Penha/Irajá
40;7;Territorial - Madureira/Jacarepaguá
30;7;Territorial - Madureira/Jacarepaguá
29;7;Territorial - Madureira/Jacarepaguá
32;7;Territorial - Madureira/Jacarepaguá
28;7;Territorial - Madureira/Jacarepaguá
41;7;Territorial - Madureira/Jacarepaguá
34;8;Territorial - Bangu/Campo Grande
35;8;Territorial - Bangu/Campo Grande
33;8;Territorial - Bangu/Campo Grande
43;9;Territorial - Santa Cruz
36;9;Territorial - Santa Cruz
72;10;Territorial - São Gonçalo
75;10;Territorial - São Gonçalo
74;10;Territorial - São Gonçalo
73;10;Territorial - São Gonçalo
77;11;Territorial - Niterói
81;11;Territorial - Niterói
78;11;Territorial - Niterói
79;11;Territorial - Niterói
76;11;Territorial - Niterói
52;12;Territorial - Nova Iguaçu
58;12;Territorial - Nova Iguaçu
57;12;Territorial - Nova Iguaçu
53;12;Territorial - Nova Iguaçu
56;12;Territorial - Nova Iguaçu
55;12;Territorial - Nova Iguaçu
59;13;Territorial - Duque de Caxias
60;13;Territorial - Duque de Caxias
61;13;Territorial - Duque de Caxias
62;13;Territorial - Duque de Caxias
64;13;Territorial - Duque de Caxias
54;13;Territorial - Duque de Caxias
93;14;Interior - Volta Redonda
151;15;Interior - Nova Friburgo
134;16;Interior - Campos
146;16;Interior - Campos
105;17;Interior - Petrópolis
106;17;Interior - Petrópolis
123;18;Interior - Macaé
126;19;Interior - Cabo Frio
90;20;Interior - Barra Mansa
70;21;Interior - Itaboraí
71;21;Interior - Itaboraí
50;22;Interior - Itaguaí
