pip_dk;pip_dscr;nucleo;familia;area_atuacao;ano;mes;vista;novos;denuncias;arquivamentos;baixas;inst_pic;acordo_npp_oferecido;acordo_npp_firmado;med_caut
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2016;1;258;20;8;83;153;0;0;0;0
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2016;2;740;5;1;131;462;0;0;0;0
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2016;3;1131;97;14;160;979;0;0;0;0
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2016;4;147;22;1;22;103;0;0;0;0
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2016;5;1036;14;3;6;952;0;0;0;0
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2016;6;1071;66;6;150;899;0;0;0;0
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2016;7;269;25;7;24;218;0;0;0;1
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2016;8;436;22;1;18;372;0;0;0;0
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2016;9;488;60;5;45;428;0;0;0;1
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2016;10;532;82;3;20;452;0;0;0;0
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2016;11;532;59;2;28;487;0;0;0;4
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2016;12;531;22;3;27;477;0;0;0;2
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2017;1;534;40;7;13;426;0;0;0;2
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2017;2;195;1;1;10;157;0;0;0;1
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2017;3;394;86;2;10;326;0;0;0;0
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2017;4;423;57;5;31;349;0;0;0;1
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2017;5;1498;88;8;32;1346;0;0;0;1
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2017;6;1299;60;4;71;1185;0;0;0;1
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2017;7;820;59;12;51;734;0;0;0;0
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2017;8;794;73;14;48;714;0;0;0;3
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2017;9;814;73;9;18;719;0;0;0;3
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2017;10;1112;123;8;41;987;0;0;0;0
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2017;11;750;113;11;65;644;0;0;0;3
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2017;12;1363;60;8;33;1251;0;0;0;3
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;1;1470;146;21;63;1370;0;0;0;2
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;2;648;102;8;16;572;0;0;0;0
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;3;746;96;5;25;660;0;0;0;0
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;4;1463;146;10;30;1321;0;0;0;0
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;5;1089;279;5;60;946;0;0;0;2
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;6;1012;131;47;49;818;0;0;0;0
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;7;1635;137;8;72;1464;0;0;0;1
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;8;2126;83;18;117;1854;0;0;0;4
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;9;934;133;22;54;786;0;0;0;1
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;10;1007;69;15;23;926;0;0;0;3
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;11;1377;70;25;45;1281;0;0;0;4
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;12;310;45;7;8;266;0;0;0;0
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2019;1;2558;80;24;45;2195;0;0;0;2
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2019;2;1331;50;10;108;1191;0;0;0;4
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2019;3;555;19;16;39;467;0;0;0;2
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2019;4;1780;150;38;21;1593;0;0;0;0
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2019;5;1009;46;30;82;887;0;0;0;2
29926805;1ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2019;6;737;112;19;14;657;0;0;0;2
