2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);4;0;0;1;0;1;0;1;2;2;1;2;14;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);4;0;0;1;0;1;0;1;2;2;1;2;14;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;0;0;0;1;0;1;1;4;
HOMICÍDIO CULPOSO OUTROS;0;0;1;0;0;0;0;0;0;0;0;0;1;
TENTATIVA DE HOMICÍDIO;1;1;2;0;1;0;2;0;0;1;0;1;9;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;1;0;0;0;1;
LESÃO CORPORAL DOLOSA;32;35;34;14;10;26;29;31;27;35;29;32;334;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;17;9;9;2;7;7;16;6;7;10;11;5;106;
LESÃO CORPORAL CULPOSA - OUTRAS;2;1;1;1;0;0;0;0;1;0;1;2;9;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);2;2;2;1;0;3;0;1;2;5;3;2;23;
ESTUPRO;2;2;1;1;0;2;0;1;2;3;2;0;16;
ESTUPRO DE VULNERÁVEL;0;0;1;0;0;1;0;0;0;2;1;2;7;
TOTAL DE ROUBO - OUTROS (1);337;407;281;129;171;249;294;229;293;251;286;327;3.254;
ROUBO - OUTROS;325;397;272;128;171;246;293;228;290;246;283;322;3.201;
ROUBO DE VEÍCULO;3;1;1;1;1;0;2;0;3;1;4;3;20;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;12;10;9;1;0;3;1;1;3;5;3;5;53;
FURTO - OUTROS;1.133;1.067;718;302;400;536;726;684;647;679;823;727;8.442;
FURTO DE VEÍCULO;14;7;11;3;3;10;12;11;9;9;18;11;118;

