2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;1;0;2;0;0;0;0;0;1;0;0;4;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;2;0;0;0;0;0;1;0;0;4;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;1;0;0;0;0;0;0;1;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;18;13;9;9;10;5;10;6;15;10;10;7;122;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;12;9;5;2;3;8;6;7;8;4;12;2;78;
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;0;0;0;0;2;0;0;1;0;2;6;
LATROCÍNIO;1;0;0;0;0;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;1;0;0;0;0;0;0;0;0;0;0;0;1;
TOTAL DE ESTUPRO (4);1;3;0;0;0;1;0;0;1;0;1;3;10;
ESTUPRO;1;0;0;0;0;0;0;0;1;0;0;2;4;
ESTUPRO DE VULNERÁVEL;0;3;0;0;0;1;0;0;0;0;1;1;6;
TOTAL DE ROUBO - OUTROS (1);87;169;111;47;51;44;75;73;69;70;70;111;977;
ROUBO - OUTROS;85;169;110;47;51;43;75;73;69;68;70;110;970;
ROUBO DE VEÍCULO;2;1;2;3;1;1;0;0;1;1;2;2;16;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;2;0;1;0;0;1;0;0;0;2;0;1;7;
FURTO - OUTROS;387;1.114;415;157;168;240;239;192;193;169;221;249;3.744;
FURTO DE VEÍCULO;7;11;8;4;3;8;17;3;13;7;17;7;105;

