2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;1;0;0;0;0;1;0;0;1;0;1;5;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;1;0;0;0;0;1;0;0;1;0;1;5;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;3;2;0;0;0;0;0;1;1;0;1;2;10;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;32;45;27;11;6;18;18;26;26;29;36;21;295;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8;7;10;3;8;5;8;8;3;13;7;10;90;
LESÃO CORPORAL CULPOSA - OUTRAS;0;2;0;1;0;1;0;0;0;2;2;1;9;
LATROCÍNIO;0;1;0;0;0;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;1;0;0;0;0;0;0;0;0;0;0;1;
TOTAL DE ESTUPRO (4);1;1;0;1;0;0;1;1;5;2;3;0;15;
ESTUPRO;0;0;0;1;0;0;1;0;3;1;1;0;7;
ESTUPRO DE VULNERÁVEL;1;1;0;0;0;0;0;1;2;1;2;0;8;
TOTAL DE ROUBO - OUTROS (1);587;954;489;201;223;258;256;237;244;245;363;357;4.414;
ROUBO - OUTROS;587;953;487;201;223;258;253;235;244;244;361;357;4.403;
ROUBO DE VEÍCULO;3;0;2;0;2;4;0;0;1;2;0;4;18;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;1;0;1;
ROUBO DE CARGA;0;1;2;0;0;0;3;2;0;1;1;0;10;
FURTO - OUTROS;1.405;2.713;784;257;256;381;377;387;373;421;501;500;8.355;
FURTO DE VEÍCULO;8;9;8;1;8;11;7;5;12;10;7;12;98;

