2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;1;0;0;0;0;0;0;1;2;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;1;0;0;0;0;0;0;1;2;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;3;0;0;0;3;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;1;0;1;0;1;0;0;0;0;0;1;1;5;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;18;30;12;8;7;9;11;8;9;17;11;18;158;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;3;9;5;1;2;3;3;2;5;6;6;4;49;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;1;1;1;3;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);1;0;1;0;0;0;2;0;1;0;1;1;7;
ESTUPRO;1;0;1;0;0;0;2;0;0;0;0;1;5;
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;0;0;1;0;1;0;2;
TOTAL DE ROUBO - OUTROS (1);235;370;236;56;52;62;80;73;79;113;157;140;1.653;
ROUBO - OUTROS;235;370;235;55;52;62;80;73;79;112;156;140;1.649;
ROUBO DE VEÍCULO;3;2;2;0;0;0;2;0;0;0;0;0;9;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;0;1;1;0;0;0;0;0;1;1;0;4;
FURTO - OUTROS;504;1.111;588;123;153;202;194;203;222;317;370;299;4.286;
FURTO DE VEÍCULO;21;18;12;8;12;17;15;14;12;14;17;10;170;

