2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;1;1;0;0;0;0;1;0;0;0;3;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;1;0;0;0;0;2;0;0;0;4;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;1;0;0;0;0;0;0;0;1;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;1;0;1;1;0;0;0;0;0;1;4;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;13;12;11;12;9;12;16;12;11;21;12;10;151;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;11;11;13;7;5;10;9;7;15;6;13;14;121;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;2;0;2;0;0;0;1;2;2;9;
LATROCÍNIO;0;2;0;0;0;0;0;0;0;0;0;0;2;
Nº DE VÍTIMAS EM LATROCÍNIO;0;2;0;0;0;0;0;0;0;0;0;0;2;
TOTAL DE ESTUPRO (4);1;2;2;1;0;0;0;1;1;2;0;1;11;
ESTUPRO;1;1;0;0;0;0;0;1;1;0;0;0;4;
ESTUPRO DE VULNERÁVEL;0;1;2;1;0;0;0;0;0;2;0;1;7;
TOTAL DE ROUBO - OUTROS (1);140;108;95;49;74;96;100;77;88;80;114;125;1.146;
ROUBO - OUTROS;140;108;93;49;73;95;99;76;86;79;112;122;1.132;
ROUBO DE VEÍCULO;10;5;8;5;3;3;3;5;6;4;8;7;67;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;0;2;0;1;1;1;1;2;1;2;3;14;
FURTO - OUTROS;312;342;249;100;109;160;200;164;152;202;235;220;2.445;
FURTO DE VEÍCULO;81;66;55;37;43;46;40;49;41;50;34;39;581;

