2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;0;0;2;1;0;0;0;1;1;1;0;7;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;0;0;2;1;0;0;0;1;1;1;0;8;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;0;0;0;1;0;0;0;1;0;0;3;
HOMICÍDIO CULPOSO OUTROS;0;0;1;0;0;0;0;0;0;0;0;0;1;
TENTATIVA DE HOMICÍDIO;1;0;2;0;2;0;0;0;1;0;1;0;7;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;21;30;26;17;6;20;26;30;28;20;28;24;276;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7;10;7;6;7;21;16;7;11;13;10;22;137;
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;0;0;1;0;4;0;2;1;0;2;12;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);0;1;0;2;0;0;1;3;0;0;1;3;11;
ESTUPRO;0;0;0;1;0;0;0;2;0;0;1;1;5;
ESTUPRO DE VULNERÁVEL;0;1;0;1;0;0;1;1;0;0;0;2;6;
TOTAL DE ROUBO - OUTROS (1);117;165;156;56;53;82;83;99;87;91;86;134;1.209;
ROUBO - OUTROS;116;162;156;56;53;80;81;99;84;90;85;132;1.194;
ROUBO DE VEÍCULO;6;4;5;2;7;5;5;5;3;0;1;8;51;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;1;3;0;0;0;2;2;0;3;1;1;2;15;
FURTO - OUTROS;558;494;413;146;154;269;290;282;334;305;276;456;3.977;
FURTO DE VEÍCULO;26;29;30;19;16;26;24;21;24;24;21;17;277;

