2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;1;0;1;0;1;1;0;0;0;0;1;5;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;1;0;1;1;0;0;0;0;1;5;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;1;1;0;0;0;0;0;0;0;0;3;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;1;0;0;0;0;0;0;1;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;21;23;17;10;8;9;14;10;16;18;17;19;182;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;16;19;15;4;3;9;10;13;11;8;13;10;131;
LESÃO CORPORAL CULPOSA - OUTRAS;5;4;0;1;2;2;3;5;5;5;3;6;41;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);4;0;3;0;1;0;3;0;1;2;2;2;18;
ESTUPRO;2;0;3;0;0;0;1;0;1;1;0;0;8;
ESTUPRO DE VULNERÁVEL;2;0;0;0;1;0;2;0;0;1;2;2;10;
TOTAL DE ROUBO - OUTROS (1);138;171;134;68;71;82;119;79;101;94;115;120;1.292;
ROUBO - OUTROS;135;169;130;66;71;78;112;72;91;93;108;113;1.238;
ROUBO DE VEÍCULO;18;7;10;5;7;7;8;6;5;7;10;8;98;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;3;2;4;2;0;4;7;7;10;1;7;7;54;
FURTO - OUTROS;404;345;274;118;148;196;210;183;200;211;231;251;2.771;
FURTO DE VEÍCULO;72;42;34;11;9;30;32;25;52;29;43;27;406;

