2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;2;0;1;0;1;0;1;0;1;0;6;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;2;0;1;0;1;0;1;0;1;0;6;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;0;0;1;0;0;1;2;1;6;
HOMICÍDIO CULPOSO OUTROS;1;0;0;0;0;0;0;0;0;0;0;0;1;
TENTATIVA DE HOMICÍDIO;3;1;0;1;0;2;0;1;2;0;0;1;11;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;33;40;25;26;25;32;17;36;36;17;38;24;349;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;14;17;12;9;10;12;10;19;17;16;13;23;172;
LESÃO CORPORAL CULPOSA - OUTRAS;2;4;0;2;0;1;1;1;1;2;1;0;15;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;1;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;1;0;1;
TOTAL DE ESTUPRO (4);2;0;1;0;1;0;2;3;4;1;2;4;20;
ESTUPRO;0;0;0;0;0;0;0;2;0;1;1;0;4;
ESTUPRO DE VULNERÁVEL;2;0;1;0;1;0;2;1;4;0;1;4;16;
TOTAL DE ROUBO - OUTROS (1);108;147;136;85;85;104;103;86;84;90;86;96;1.210;
ROUBO - OUTROS;107;147;133;84;83;104;102;86;82;88;82;94;1.192;
ROUBO DE VEÍCULO;19;19;15;11;3;9;16;9;10;6;13;12;142;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;1;0;3;1;2;0;1;0;2;2;4;2;18;
FURTO - OUTROS;169;156;142;69;86;112;127;134;90;137;138;154;1.514;
FURTO DE VEÍCULO;61;60;49;23;23;34;51;39;26;32;41;28;467;

