2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;1;0;0;0;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;3;0;0;0;0;0;0;0;0;0;0;3;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;1;0;0;0;1;1;0;1;0;0;1;6;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;5;0;0;0;0;0;0;0;2;1;0;0;8;
LESÃO CORPORAL SEGUIDA DE MORTE;1;0;0;0;0;0;0;0;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;49;26;24;34;9;4;14;7;20;23;28;17;255;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;16;23;10;11;3;11;15;22;16;18;15;17;177;
LESÃO CORPORAL CULPOSA - OUTRAS;4;1;3;0;5;3;4;2;1;11;15;4;53;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);0;3;0;0;0;2;0;0;2;1;0;0;8;
ESTUPRO;0;2;0;0;0;0;0;0;1;1;0;0;4;
ESTUPRO DE VULNERÁVEL;0;1;0;0;0;2;0;0;1;0;0;0;4;
TOTAL DE ROUBO - OUTROS (1);168;210;151;109;146;161;182;163;102;156;151;158;1.857;
ROUBO - OUTROS;168;209;151;108;146;159;182;163;101;155;148;156;1.846;
ROUBO DE VEÍCULO;13;11;15;10;7;9;14;12;5;9;24;16;145;
ROUBO A BANCO;0;0;0;1;0;0;0;0;0;0;0;0;1;
ROUBO DE CARGA;0;1;0;0;0;2;0;0;1;1;3;2;10;
FURTO - OUTROS;373;355;297;134;134;198;283;217;214;294;287;285;3.071;
FURTO DE VEÍCULO;49;57;41;19;32;30;28;23;25;12;38;34;388;

