2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;2;1;1;0;1;4;0;1;2;3;2;17;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;2;1;1;0;1;4;0;1;2;3;2;17;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;1;1;1;0;1;4;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;1;0;1;
TENTATIVA DE HOMICÍDIO;1;0;0;0;2;2;1;1;1;1;0;0;9;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;19;37;30;15;21;16;14;30;33;26;38;35;314;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;18;11;12;4;3;12;15;17;10;16;13;9;140;
LESÃO CORPORAL CULPOSA - OUTRAS;2;3;0;0;1;3;2;4;2;5;2;0;24;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);2;1;1;2;0;2;0;1;3;1;2;5;20;
ESTUPRO;2;1;0;1;0;1;0;0;1;1;1;1;9;
ESTUPRO DE VULNERÁVEL;0;0;1;1;0;1;0;1;2;0;1;4;11;
TOTAL DE ROUBO - OUTROS (1);206;240;151;51;77;125;144;159;148;149;190;269;1.909;
ROUBO - OUTROS;204;234;147;49;71;121;141;154;145;142;181;260;1.849;
ROUBO DE VEÍCULO;10;10;5;1;5;3;2;1;3;6;6;5;57;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;1;0;0;1;
ROUBO DE CARGA;2;6;4;2;6;4;3;5;3;6;9;9;59;
FURTO - OUTROS;481;649;360;63;138;333;593;581;552;447;632;1.118;5.947;
FURTO DE VEÍCULO;33;22;28;18;21;24;6;20;17;40;30;29;288;

