2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;1;0;0;1;0;0;0;1;0;1;0;4;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;0;3;0;0;0;1;0;1;0;6;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;0;1;0;1;0;0;0;3;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;1;0;0;1;0;1;0;0;1;0;4;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;30;28;19;13;6;8;24;22;20;16;16;19;221;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;15;13;15;7;9;8;15;9;13;15;12;7;138;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;7;1;1;0;0;1;10;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);1;6;3;2;0;1;1;2;1;3;9;1;30;
ESTUPRO;0;6;2;1;0;0;0;0;0;3;5;0;17;
ESTUPRO DE VULNERÁVEL;1;0;1;1;0;1;1;2;1;0;4;1;13;
TOTAL DE ROUBO - OUTROS (1);128;183;110;52;65;86;67;73;73;83;119;102;1.141;
ROUBO - OUTROS;122;181;109;51;65;86;67;72;72;81;116;101;1.123;
ROUBO DE VEÍCULO;19;26;17;8;8;5;15;4;4;7;14;4;131;
ROUBO A BANCO;0;0;0;0;0;0;0;0;1;0;0;0;1;
ROUBO DE CARGA;6;2;1;1;0;0;0;1;0;2;3;1;17;
FURTO - OUTROS;231;506;170;81;112;178;175;160;147;137;149;165;2.211;
FURTO DE VEÍCULO;46;39;31;18;17;41;69;73;53;50;43;24;504;

