2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;1;0;0;0;0;0;0;1;0;2;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;1;0;0;0;0;0;0;1;0;2;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;1;0;0;1;0;2;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;3;0;0;1;0;1;0;0;2;0;2;9;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;1;0;0;0;1;
LESÃO CORPORAL DOLOSA;9;30;17;7;8;7;15;10;16;26;12;18;175;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;14;8;13;5;10;2;4;17;18;12;6;12;121;
LESÃO CORPORAL CULPOSA - OUTRAS;2;1;0;3;0;0;1;0;0;2;0;1;10;
LATROCÍNIO;1;0;0;0;0;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;1;0;0;0;0;0;0;0;0;0;0;0;1;
TOTAL DE ESTUPRO (4);0;4;1;1;0;0;1;1;1;0;0;1;10;
ESTUPRO;0;2;0;0;0;0;1;0;1;0;0;1;5;
ESTUPRO DE VULNERÁVEL;0;2;1;1;0;0;0;1;0;0;0;0;5;
TOTAL DE ROUBO - OUTROS (1);201;370;157;53;51;82;86;106;111;138;179;145;1.679;
ROUBO - OUTROS;200;369;156;51;50;81;86;106;110;137;179;145;1.670;
ROUBO DE VEÍCULO;7;7;11;8;5;2;7;5;5;6;13;24;100;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;1;1;1;2;1;1;0;0;1;1;0;0;9;
FURTO - OUTROS;550;1.086;378;145;168;218;245;208;181;269;367;311;4.126;
FURTO DE VEÍCULO;55;51;43;22;40;58;58;30;36;39;40;27;499;

