2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;1;0;0;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;0;0;0;0;0;0;0;0;0;1;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;1;0;1;0;0;0;0;0;2;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;1;0;1;0;0;0;0;0;0;0;0;2;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;11;24;14;4;4;8;7;9;13;13;6;11;124;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;18;15;11;5;1;13;4;9;14;12;11;7;120;
LESÃO CORPORAL CULPOSA - OUTRAS;2;0;0;0;0;0;1;0;0;0;0;2;5;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);2;0;2;1;1;0;2;1;0;0;3;1;13;
ESTUPRO;1;0;2;1;0;0;0;1;0;0;1;0;6;
ESTUPRO DE VULNERÁVEL;1;0;0;0;1;0;2;0;0;0;2;1;7;
TOTAL DE ROUBO - OUTROS (1);103;266;89;36;42;57;59;69;59;82;107;90;1.059;
ROUBO - OUTROS;103;264;89;36;42;56;59;69;59;79;106;89;1.051;
ROUBO DE VEÍCULO;6;6;5;4;7;2;4;2;5;5;2;11;59;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;1;0;0;1;
ROUBO DE CARGA;0;2;0;0;0;1;0;0;0;2;1;1;7;
FURTO - OUTROS;300;1.541;243;73;97;123;134;149;156;183;191;174;3.364;
FURTO DE VEÍCULO;23;29;25;11;10;20;11;17;20;36;35;23;260;

