2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;1;0;0;0;0;0;0;0;1;0;2;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;0;0;0;0;0;0;0;1;0;2;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;1;0;0;1;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;1;0;0;1;
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;1;0;0;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;51;38;55;26;20;23;21;69;16;54;38;69;480;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;18;17;24;8;16;17;16;26;12;20;30;17;221;
LESÃO CORPORAL CULPOSA - OUTRAS;2;9;5;2;0;1;2;1;2;0;2;1;27;
LATROCÍNIO;0;0;0;0;0;1;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;1;0;0;0;0;0;0;1;
TOTAL DE ESTUPRO (4);6;0;1;1;0;1;2;1;0;4;2;2;20;
ESTUPRO;1;0;0;0;0;1;2;0;0;3;1;1;9;
ESTUPRO DE VULNERÁVEL;5;0;1;1;0;0;0;1;0;1;1;1;11;
TOTAL DE ROUBO - OUTROS (1);127;134;129;84;79;81;72;100;87;99;106;132;1.230;
ROUBO - OUTROS;127;134;126;84;78;81;72;99;87;98;106;131;1.223;
ROUBO DE VEÍCULO;37;37;29;17;10;11;4;4;5;9;12;23;198;
ROUBO A BANCO;0;0;1;0;0;0;0;0;0;1;0;0;2;
ROUBO DE CARGA;0;0;2;0;1;0;0;1;0;0;0;1;5;
FURTO - OUTROS;230;270;229;101;153;189;178;182;197;163;191;173;2.256;
FURTO DE VEÍCULO;66;55;67;40;46;62;90;59;46;50;56;38;675;

