2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;1;0;0;0;1;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;1;0;0;0;1;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;0;0;0;0;0;0;0;0;0;0;1;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;1;1;1;0;0;0;0;0;0;0;0;0;3;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;23;33;20;13;7;9;18;35;16;40;22;36;272;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;13;6;23;5;4;6;11;12;8;1;5;8;102;
LESÃO CORPORAL CULPOSA - OUTRAS;0;2;1;0;0;0;2;2;2;0;2;2;13;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);0;0;0;1;0;2;0;0;0;1;1;1;6;
ESTUPRO;0;0;0;0;0;0;0;0;0;1;1;0;2;
ESTUPRO DE VULNERÁVEL;0;0;0;1;0;2;0;0;0;0;0;1;4;
TOTAL DE ROUBO - OUTROS (1);105;99;100;67;70;73;66;63;75;67;94;113;992;
ROUBO - OUTROS;103;98;94;64;69;72;65;62;73;66;93;112;971;
ROUBO DE VEÍCULO;41;40;15;14;7;20;27;7;14;16;16;21;238;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;2;1;6;3;1;1;1;1;2;1;1;1;21;
FURTO - OUTROS;148;151;136;79;91;144;127;113;103;108;133;117;1.450;
FURTO DE VEÍCULO;69;52;54;36;36;50;61;34;54;43;50;26;565;

