2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;0;0;0;0;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;0;0;0;0;0;0;0;0;0;1;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;1;0;0;0;1;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;6;16;6;4;2;3;3;3;6;5;6;7;67;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6;5;2;1;3;4;6;3;7;5;5;6;53;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;0;0;2;0;2;0;2;1;0;8;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);0;0;1;0;0;0;0;0;0;1;1;0;3;
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ESTUPRO DE VULNERÁVEL;0;0;1;0;0;0;0;0;0;1;1;0;3;
TOTAL DE ROUBO - OUTROS (1);11;20;25;20;19;25;24;16;9;23;11;25;228;
ROUBO - OUTROS;9;20;25;19;19;25;23;14;9;22;11;25;221;
ROUBO DE VEÍCULO;4;2;3;2;1;1;2;3;1;3;2;2;26;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;2;0;0;1;0;0;1;2;0;1;0;0;7;
FURTO - OUTROS;54;56;55;40;44;45;51;39;54;47;36;44;565;
FURTO DE VEÍCULO;12;10;15;4;14;14;15;14;5;13;13;8;137;

