2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;0;0;1;0;0;0;0;0;0;0;0;2;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;1;0;0;0;0;0;0;0;0;2;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;1;1;2;1;0;1;0;3;0;10;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;1;0;0;0;0;0;0;0;0;1;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;12;14;12;12;13;8;13;8;15;12;21;20;160;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;12;16;6;2;4;11;7;11;9;9;8;10;105;
LESÃO CORPORAL CULPOSA - OUTRAS;2;1;1;0;1;1;0;1;2;1;0;0;10;
LATROCÍNIO;0;0;0;0;0;1;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;1;0;0;0;0;0;0;1;
TOTAL DE ESTUPRO (4);1;3;0;3;2;4;2;2;1;0;1;1;20;
ESTUPRO;1;1;0;2;0;1;0;1;0;0;0;0;6;
ESTUPRO DE VULNERÁVEL;0;2;0;1;2;3;2;1;1;0;1;1;14;
TOTAL DE ROUBO - OUTROS (1);76;91;59;48;52;56;44;54;45;68;65;98;756;
ROUBO - OUTROS;72;89;59;46;50;55;44;53;44;66;63;94;735;
ROUBO DE VEÍCULO;6;6;4;5;3;1;2;4;9;7;3;2;52;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;4;2;0;2;2;1;0;1;1;2;2;4;21;
FURTO - OUTROS;81;99;72;43;49;60;67;72;83;59;90;88;863;
FURTO DE VEÍCULO;24;23;16;13;16;20;32;34;21;24;28;19;270;

