2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;0;1;1;2;0;0;0;0;1;0;2;8;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;1;1;2;0;0;0;0;1;0;2;8;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;1;0;0;0;1;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;2;0;0;2;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;32;23;30;27;17;31;22;20;20;28;22;18;290;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;13;19;9;7;13;9;15;17;16;14;27;22;181;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;0;0;3;2;1;1;2;0;0;10;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);3;2;2;4;1;1;3;2;2;2;0;0;22;
ESTUPRO;0;1;0;1;0;0;1;0;0;1;0;0;4;
ESTUPRO DE VULNERÁVEL;3;1;2;3;1;1;2;2;2;1;0;0;18;
TOTAL DE ROUBO - OUTROS (1);85;77;70;59;59;76;59;66;46;51;49;54;751;
ROUBO - OUTROS;85;77;69;57;59;76;58;66;46;51;48;53;745;
ROUBO DE VEÍCULO;12;12;14;9;7;1;8;2;6;7;11;9;98;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;0;1;2;0;0;1;0;0;0;1;1;6;
FURTO - OUTROS;131;108;94;76;80;164;106;99;95;97;108;107;1.265;
FURTO DE VEÍCULO;32;25;20;20;21;24;32;37;44;27;30;21;333;

