2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;1;1;0;1;0;0;0;0;0;0;0;4;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;1;1;0;1;0;0;0;0;0;0;0;4;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;2;2;0;4;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;1;0;1;
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;1;0;0;1;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;27;24;37;20;18;20;26;16;18;23;22;19;270;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;16;13;11;7;10;15;6;12;8;6;20;11;135;
LESÃO CORPORAL CULPOSA - OUTRAS;2;1;0;2;1;0;2;0;0;0;0;0;8;
LATROCÍNIO;0;0;0;0;0;0;0;1;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;1;0;0;0;0;1;
TOTAL DE ESTUPRO (4);2;3;3;1;0;1;4;5;2;1;1;0;23;
ESTUPRO;0;0;1;0;0;1;2;1;1;0;0;0;6;
ESTUPRO DE VULNERÁVEL;2;3;2;1;0;0;2;4;1;1;1;0;17;
TOTAL DE ROUBO - OUTROS (1);148;101;128;97;98;131;75;107;86;108;116;100;1.295;
ROUBO - OUTROS;146;99;127;97;98;131;75;107;86;107;115;98;1.286;
ROUBO DE VEÍCULO;23;11;17;7;6;10;9;9;16;6;14;13;141;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;2;2;1;0;0;0;0;0;0;1;1;2;9;
FURTO - OUTROS;99;96;91;79;80;112;95;88;84;81;101;112;1.118;
FURTO DE VEÍCULO;56;37;20;31;26;42;38;35;55;31;39;39;449;

