2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);2;0;0;0;0;0;3;1;1;0;0;0;7;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;0;0;0;0;0;3;1;1;0;0;0;7;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;1;1;1;1;1;1;6;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;1;0;1;0;0;0;0;0;0;0;2;0;4;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;1;0;0;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;19;29;27;18;14;22;24;12;26;35;38;32;296;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;10;11;9;2;5;5;8;10;11;7;16;12;106;
LESÃO CORPORAL CULPOSA - OUTRAS;3;1;1;0;0;1;0;0;1;0;0;2;9;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);5;1;2;2;3;3;3;5;4;2;2;1;33;
ESTUPRO;0;0;0;1;0;0;1;0;0;0;0;0;2;
ESTUPRO DE VULNERÁVEL;5;1;2;1;3;3;2;5;4;2;2;1;31;
TOTAL DE ROUBO - OUTROS (1);142;125;131;123;123;126;89;91;73;70;92;90;1.275;
ROUBO - OUTROS;141;121;130;122;120;125;89;91;72;68;91;90;1.260;
ROUBO DE VEÍCULO;18;17;15;8;7;6;12;8;13;9;11;23;147;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;1;4;1;1;3;1;0;0;1;2;1;0;15;
FURTO - OUTROS;118;129;110;77;104;109;157;138;116;131;183;182;1.554;
FURTO DE VEÍCULO;24;19;24;19;17;18;31;19;25;18;22;15;251;

