2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;1;0;1;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;1;0;1;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;1;0;1;1;1;4;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;1;0;0;0;0;1;
TENTATIVA DE HOMICÍDIO;1;1;0;1;0;0;0;1;1;0;0;0;5;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;20;22;26;3;8;11;14;9;15;13;14;14;169;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;9;13;9;4;1;4;9;11;7;3;10;9;89;
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;1;0;0;0;0;0;0;1;1;0;4;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);1;0;2;0;2;0;0;2;1;0;0;1;9;
ESTUPRO;0;0;1;0;0;0;0;1;0;0;0;1;3;
ESTUPRO DE VULNERÁVEL;1;0;1;0;2;0;0;1;1;0;0;0;6;
TOTAL DE ROUBO - OUTROS (1);193;247;205;86;98;132;122;88;125;105;128;122;1.651;
ROUBO - OUTROS;192;246;205;86;98;132;121;88;125;102;126;122;1.643;
ROUBO DE VEÍCULO;10;7;9;6;2;3;3;8;6;5;4;5;68;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;1;1;0;0;0;0;1;0;0;3;2;0;8;
FURTO - OUTROS;521;889;565;246;261;348;336;300;251;289;290;332;4.628;
FURTO DE VEÍCULO;71;47;62;27;26;41;49;52;42;28;34;29;508;

