2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;1;2;0;1;0;0;0;0;1;1;1;8;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;1;2;0;1;0;0;0;0;1;1;1;8;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;2;0;0;0;0;1;0;2;0;0;6;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;1;0;0;0;0;0;1;
TENTATIVA DE HOMICÍDIO;0;0;1;0;0;0;1;1;0;1;1;0;5;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;1;0;0;0;0;0;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;35;37;28;26;24;33;33;36;32;23;35;43;385;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;12;8;8;3;10;8;16;20;13;6;7;9;120;
LESÃO CORPORAL CULPOSA - OUTRAS;1;2;1;0;1;0;0;0;0;3;1;0;9;
LATROCÍNIO;0;0;0;0;0;0;0;0;1;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;1;0;0;0;1;
TOTAL DE ESTUPRO (4);4;5;3;4;0;2;0;4;6;2;0;4;34;
ESTUPRO;1;3;0;1;0;1;0;1;1;0;0;2;10;
ESTUPRO DE VULNERÁVEL;3;2;3;3;0;1;0;3;5;2;0;2;24;
TOTAL DE ROUBO - OUTROS (1);122;120;111;105;80;93;86;94;51;69;85;89;1.105;
ROUBO - OUTROS;122;118;111;105;79;92;86;93;51;69;85;85;1.096;
ROUBO DE VEÍCULO;12;6;9;7;4;4;9;8;4;4;12;11;90;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;2;0;0;1;1;0;1;0;0;0;4;9;
FURTO - OUTROS;148;127;160;74;104;121;135;93;84;96;135;115;1.392;
FURTO DE VEÍCULO;56;48;34;20;27;30;39;33;33;45;52;37;454;

