2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;3;2;1;3;2;5;3;2;3;4;2;30;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;3;2;1;3;2;5;3;2;3;6;2;32;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;1;1;0;2;0;0;1;0;0;0;6;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;2;0;0;1;1;0;0;0;0;0;0;0;4;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;41;46;44;25;26;20;31;31;19;27;20;23;353;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;12;11;8;8;14;8;7;13;8;9;7;8;113;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;2;0;0;0;0;0;0;2;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;1;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;1;0;0;1;
TOTAL DE ESTUPRO (4);6;2;12;1;3;2;9;6;8;5;5;9;68;
ESTUPRO;3;0;2;0;1;0;1;1;0;1;1;2;12;
ESTUPRO DE VULNERÁVEL;3;2;10;1;2;2;8;5;8;4;4;7;56;
TOTAL DE ROUBO - OUTROS (1);134;113;86;84;111;144;117;83;60;75;107;107;1.221;
ROUBO - OUTROS;134;110;85;83;111;140;116;83;58;75;104;104;1.203;
ROUBO DE VEÍCULO;14;16;17;13;10;10;14;11;10;5;14;20;154;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;3;1;1;0;4;1;0;2;0;3;3;18;
FURTO - OUTROS;99;81;51;81;58;100;73;72;54;55;77;75;876;
FURTO DE VEÍCULO;9;7;7;9;8;8;7;12;6;12;16;10;111;

