2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;1;0;0;0;1;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;1;0;1;0;1;0;0;0;1;0;0;0;4;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;31;21;21;13;10;11;13;29;28;52;41;47;317;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;3;5;2;1;1;3;3;5;8;10;12;2;55;
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;2;0;0;1;0;0;1;0;1;1;8;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);1;2;2;0;1;2;2;0;1;0;0;0;11;
ESTUPRO;0;0;1;0;1;1;1;0;1;0;0;0;5;
ESTUPRO DE VULNERÁVEL;1;2;1;0;0;1;1;0;0;0;0;0;6;
TOTAL DE ROUBO - OUTROS (1);91;89;58;27;48;35;45;49;44;58;60;69;673;
ROUBO - OUTROS;89;89;57;26;48;35;45;46;44;55;59;69;662;
ROUBO DE VEÍCULO;25;26;22;6;9;6;6;5;5;10;10;21;151;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;2;0;1;1;0;0;0;3;0;3;1;0;11;
FURTO - OUTROS;55;71;41;24;35;33;57;55;48;42;33;44;538;
FURTO DE VEÍCULO;16;10;18;8;16;15;24;25;17;11;9;13;182;

