2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;1;0;0;0;0;2;0;3;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;1;0;2;0;0;0;0;0;0;0;3;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;10;8;10;10;13;9;17;45;20;38;24;35;239;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8;14;6;2;9;14;18;13;7;16;11;11;129;
LESÃO CORPORAL CULPOSA - OUTRAS;10;5;5;2;1;1;2;1;2;1;0;2;32;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);2;1;1;1;1;4;1;0;5;2;0;1;19;
ESTUPRO;1;0;1;0;1;1;1;0;1;1;0;0;7;
ESTUPRO DE VULNERÁVEL;1;1;0;1;0;3;0;0;4;1;0;1;12;
TOTAL DE ROUBO - OUTROS (1);93;107;76;69;50;97;126;104;92;80;111;111;1.116;
ROUBO - OUTROS;93;106;76;68;49;97;124;103;91;79;108;111;1.105;
ROUBO DE VEÍCULO;14;27;16;13;6;12;11;13;9;10;8;14;153;
ROUBO A BANCO;0;1;0;0;0;0;0;0;0;0;0;0;1;
ROUBO DE CARGA;0;0;0;1;1;0;2;1;1;1;3;0;10;
FURTO - OUTROS;178;204;127;82;84;114;163;117;113;109;134;159;1.584;
FURTO DE VEÍCULO;32;24;22;18;18;20;26;21;22;19;23;20;265;

