2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;1;0;0;0;0;0;0;1;0;1;0;4;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;1;0;0;0;0;0;0;1;0;1;0;4;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;1;0;0;0;0;0;0;0;0;2;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;1;0;0;0;2;0;0;1;1;0;0;0;5;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;27;26;18;25;17;19;13;26;22;33;28;36;290;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;16;18;13;5;8;9;15;11;11;14;24;23;167;
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;0;0;0;0;0;2;2;2;0;1;9;
LATROCÍNIO;1;0;0;0;0;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;1;0;0;0;0;0;0;0;0;0;0;0;1;
TOTAL DE ESTUPRO (4);2;3;1;3;1;4;2;1;2;2;3;0;24;
ESTUPRO;2;1;0;1;1;2;0;0;0;0;1;0;8;
ESTUPRO DE VULNERÁVEL;0;2;1;2;0;2;2;1;2;2;2;0;16;
TOTAL DE ROUBO - OUTROS (1);109;127;103;60;67;89;71;77;62;86;100;120;1.071;
ROUBO - OUTROS;104;125;102;56;63;84;68;76;59;80;99;118;1.034;
ROUBO DE VEÍCULO;16;19;19;10;8;4;14;10;4;12;11;13;140;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;5;2;1;4;4;5;3;1;3;6;1;2;37;
FURTO - OUTROS;120;153;126;83;107;122;133;155;140;138;144;47;1.468;
FURTO DE VEÍCULO;23;25;23;16;16;21;32;34;32;25;31;21;299;

