2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;1;0;0;0;0;0;1;0;0;2;4;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;0;0;0;0;0;1;0;0;2;4;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;1;1;0;2;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;1;0;1;1;0;0;0;0;0;3;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;8;19;5;9;5;12;14;11;9;6;7;16;121;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7;5;9;1;5;6;3;11;5;6;4;8;70;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;1;0;1;2;
LATROCÍNIO;0;0;0;0;1;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;1;0;0;0;0;0;0;0;1;
TOTAL DE ESTUPRO (4);2;0;1;0;1;0;2;0;2;0;0;0;8;
ESTUPRO;1;0;0;0;1;0;1;0;0;0;0;0;3;
ESTUPRO DE VULNERÁVEL;1;0;1;0;0;0;1;0;2;0;0;0;5;
TOTAL DE ROUBO - OUTROS (1);58;54;63;40;35;32;44;23;35;27;38;39;488;
ROUBO - OUTROS;57;54;62;40;34;31;44;23;35;27;38;39;484;
ROUBO DE VEÍCULO;6;7;8;4;6;4;12;8;10;8;6;8;87;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;1;0;1;0;1;1;0;0;0;0;0;0;4;
FURTO - OUTROS;51;56;54;28;32;42;43;34;42;38;48;44;512;
FURTO DE VEÍCULO;45;39;40;16;19;40;33;39;26;40;43;24;404;

