2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;1;0;0;0;0;0;1;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;1;0;0;0;0;0;1;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;1;0;1;1;0;3;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;0;1;0;0;0;1;1;0;0;3;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;10;9;12;5;9;2;21;6;12;9;10;10;115;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;14;10;6;0;2;12;11;7;5;1;7;7;82;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;6;0;2;0;0;0;0;8;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;1;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;1;0;0;1;
TOTAL DE ESTUPRO (4);0;1;1;0;0;0;1;1;0;2;1;1;8;
ESTUPRO;0;0;0;0;0;0;0;0;0;1;0;0;1;
ESTUPRO DE VULNERÁVEL;0;1;1;0;0;0;1;1;0;1;1;1;7;
TOTAL DE ROUBO - OUTROS (1);59;45;33;32;35;34;25;28;27;22;38;25;403;
ROUBO - OUTROS;59;44;33;31;35;34;25;28;26;20;37;23;395;
ROUBO DE VEÍCULO;6;8;2;4;2;4;3;4;3;4;5;7;52;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;1;0;1;0;0;0;0;1;2;1;2;8;
FURTO - OUTROS;43;40;34;20;27;39;41;24;32;22;43;35;400;
FURTO DE VEÍCULO;29;16;24;11;12;38;45;47;36;20;22;17;317;

