2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;1;1;0;0;0;0;0;0;0;0;0;3;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;1;1;0;0;0;0;0;0;0;0;0;3;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;1;1;0;0;0;0;2;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;1;1;1;1;1;0;1;1;0;0;1;8;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;21;22;29;19;29;24;26;20;16;15;33;35;289;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6;10;3;8;7;9;13;21;11;8;10;14;120;
LESÃO CORPORAL CULPOSA - OUTRAS;2;0;0;0;0;1;0;2;1;1;0;1;8;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);4;2;2;2;4;3;3;1;2;3;6;2;34;
ESTUPRO;2;2;1;0;1;1;0;0;0;0;1;1;9;
ESTUPRO DE VULNERÁVEL;2;0;1;2;3;2;3;1;2;3;5;1;25;
TOTAL DE ROUBO - OUTROS (1);128;106;124;129;121;138;112;80;81;69;99;87;1.274;
ROUBO - OUTROS;128;106;123;129;120;137;112;79;81;68;98;86;1.267;
ROUBO DE VEÍCULO;19;18;13;8;3;10;12;10;16;10;15;19;153;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;0;1;0;1;1;0;1;0;1;1;1;7;
FURTO - OUTROS;109;98;88;56;80;93;103;119;105;67;118;116;1.152;
FURTO DE VEÍCULO;23;39;26;19;28;16;39;31;29;28;25;15;318;

