2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;1;1;0;0;0;0;0;1;2;0;0;5;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;1;0;0;0;0;0;2;2;0;0;6;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;1;1;2;2;1;1;1;1;11;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;0;1;0;0;2;0;0;0;1;4;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;25;17;14;2;4;6;9;11;11;7;4;11;121;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;17;13;4;1;6;4;6;9;11;10;17;8;106;
LESÃO CORPORAL CULPOSA - OUTRAS;11;1;3;3;0;0;0;0;0;1;0;0;19;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);2;1;1;1;1;0;0;3;0;2;1;3;15;
ESTUPRO;0;0;1;0;0;0;0;0;0;0;0;1;2;
ESTUPRO DE VULNERÁVEL;2;1;0;1;1;0;0;3;0;2;1;2;13;
TOTAL DE ROUBO - OUTROS (1);109;90;85;68;64;78;117;69;73;84;82;90;1.009;
ROUBO - OUTROS;100;85;80;66;60;74;114;64;69;80;77;81;950;
ROUBO DE VEÍCULO;14;18;38;7;13;18;20;12;21;17;18;23;219;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;9;5;5;2;4;4;3;5;4;4;5;9;59;
FURTO - OUTROS;110;68;79;45;54;100;117;72;76;82;99;81;983;
FURTO DE VEÍCULO;43;33;44;26;38;26;47;10;37;29;33;40;406;

