2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;0;0;0;1;0;0;1;1;0;0;1;5;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;0;1;0;0;1;1;0;0;1;5;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;0;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;0;0;0;0;0;0;0;0;1;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;1;1;0;0;2;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;1;0;0;1;0;0;0;1;0;0;0;3;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;16;18;10;12;5;14;18;19;19;20;12;14;177;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;23;15;24;11;17;23;17;17;10;12;12;16;197;
LESÃO CORPORAL CULPOSA - OUTRAS;2;0;1;1;2;0;0;1;0;1;1;0;9;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);4;1;2;0;0;3;2;2;0;0;2;0;16;
ESTUPRO;1;0;1;0;0;1;0;0;0;0;1;0;4;
ESTUPRO DE VULNERÁVEL;3;1;1;0;0;2;2;2;0;0;1;0;12;
TOTAL DE ROUBO - OUTROS (1);123;130;84;58;70;127;104;94;82;91;127;134;1.224;
ROUBO - OUTROS;121;129;82;55;68;127;104;94;81;91;127;132;1.211;
ROUBO DE VEÍCULO;15;18;21;14;12;6;15;34;9;7;12;24;187;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;2;1;2;3;2;0;0;0;1;0;0;2;13;
FURTO - OUTROS;135;146;120;61;78;140;111;109;101;123;127;125;1.376;
FURTO DE VEÍCULO;27;18;24;11;17;23;13;16;23;25;34;16;247;

