2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;1;0;1;0;0;0;1;0;2;5;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;1;0;1;0;0;0;2;0;2;6;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;1;1;0;0;0;1;0;0;0;0;4;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;1;1;0;0;0;1;0;3;
LESÃO CORPORAL SEGUIDA DE MORTE;0;1;0;0;0;0;0;0;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;27;51;32;27;25;12;30;53;33;51;28;40;409;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;5;9;9;10;2;6;12;29;15;11;14;19;141;
LESÃO CORPORAL CULPOSA - OUTRAS;3;1;0;0;0;1;0;0;1;0;3;2;11;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);2;1;1;0;2;1;2;4;1;2;2;0;18;
ESTUPRO;0;0;1;0;0;1;0;1;0;1;1;0;5;
ESTUPRO DE VULNERÁVEL;2;1;0;0;2;0;2;3;1;1;1;0;13;
TOTAL DE ROUBO - OUTROS (1);190;182;160;129;151;173;177;132;96;135;148;141;1.814;
ROUBO - OUTROS;190;180;160;129;150;171;177;129;95;134;146;135;1.796;
ROUBO DE VEÍCULO;41;52;26;17;24;22;41;23;20;23;37;32;358;
ROUBO A BANCO;0;1;0;0;0;0;0;0;0;0;0;0;1;
ROUBO DE CARGA;0;1;0;0;1;2;0;3;1;1;2;6;17;
FURTO - OUTROS;211;141;146;81;89;129;151;144;127;125;141;170;1.655;
FURTO DE VEÍCULO;19;27;25;14;21;14;18;17;24;27;29;17;252;

