2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;1;0;0;0;0;0;1;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;0;2;0;0;0;0;0;0;0;2;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;5;12;6;7;2;9;7;15;6;19;17;27;132;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;5;3;5;2;6;5;7;6;5;8;7;9;68;
LESÃO CORPORAL CULPOSA - OUTRAS;2;7;1;0;2;0;1;0;1;1;0;1;16;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);2;0;0;0;0;0;2;1;0;0;0;0;5;
ESTUPRO;0;0;0;0;0;0;2;1;0;0;0;0;3;
ESTUPRO DE VULNERÁVEL;2;0;0;0;0;0;0;0;0;0;0;0;2;
TOTAL DE ROUBO - OUTROS (1);79;137;104;28;27;55;67;58;56;64;79;77;831;
ROUBO - OUTROS;79;135;104;28;27;54;67;58;56;64;79;77;828;
ROUBO DE VEÍCULO;2;4;2;1;0;0;1;3;0;2;3;0;18;
ROUBO A BANCO;0;1;0;0;0;0;0;0;0;0;0;0;1;
ROUBO DE CARGA;0;1;0;0;0;1;0;0;0;0;0;0;2;
FURTO - OUTROS;301;1.464;704;81;99;144;151;127;117;144;169;145;3.646;
FURTO DE VEÍCULO;30;16;13;15;12;17;30;23;21;6;25;15;223;

