2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);4;0;3;2;0;2;3;1;0;4;0;2;21;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);5;0;3;2;0;2;5;1;0;4;0;2;24;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;2;3;1;2;8;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;2;1;1;0;3;0;1;0;2;2;1;3;16;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;1;0;0;0;0;0;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;44;36;49;41;40;35;51;61;54;50;46;62;569;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;19;14;8;8;17;23;15;12;19;13;20;21;189;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;0;0;0;0;1;0;0;1;0;3;
LATROCÍNIO;2;0;0;0;0;1;0;0;0;0;0;0;3;
Nº DE VÍTIMAS EM LATROCÍNIO;2;0;0;0;0;1;0;0;0;0;0;0;3;
TOTAL DE ESTUPRO (4);5;6;6;2;3;7;4;5;2;14;8;4;66;
ESTUPRO;0;1;2;0;0;1;1;0;1;4;4;2;16;
ESTUPRO DE VULNERÁVEL;5;5;4;2;3;6;3;5;1;10;4;2;50;
TOTAL DE ROUBO - OUTROS (1);323;306;317;187;272;331;321;244;232;298;345;414;3.590;
ROUBO - OUTROS;311;292;303;174;267;319;311;237;230;288;342;393;3.467;
ROUBO DE VEÍCULO;32;31;24;25;14;27;27;15;21;23;38;50;327;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;12;14;14;13;5;12;10;7;2;10;3;21;123;
FURTO - OUTROS;219;201;164;103;165;223;255;161;167;166;224;205;2.253;
FURTO DE VEÍCULO;29;35;27;21;19;19;24;17;25;22;25;35;298;

