2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;1;0;1;1;1;1;0;1;3;9;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;1;0;1;1;1;1;0;1;3;9;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;1;1;0;1;0;0;0;0;0;3;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;1;0;0;0;0;0;0;1;
TENTATIVA DE HOMICÍDIO;2;1;0;1;0;0;0;0;2;2;0;0;8;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;39;32;29;24;25;31;34;26;28;34;32;28;362;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8;12;10;6;9;8;14;8;7;16;9;17;124;
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;0;0;1;0;1;1;0;0;0;0;4;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);1;1;4;0;0;4;1;0;2;2;4;6;25;
ESTUPRO;1;0;3;0;0;1;0;0;0;1;1;2;9;
ESTUPRO DE VULNERÁVEL;0;1;1;0;0;3;1;0;2;1;3;4;16;
TOTAL DE ROUBO - OUTROS (1);95;98;98;66;63;51;107;46;57;69;94;88;932;
ROUBO - OUTROS;94;96;97;63;61;49;103;46;54;67;92;85;907;
ROUBO DE VEÍCULO;13;12;8;9;2;3;7;7;2;10;6;11;90;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;1;2;1;3;2;2;4;0;3;2;2;3;25;
FURTO - OUTROS;125;100;82;70;78;95;202;109;90;77;99;105;1.232;
FURTO DE VEÍCULO;20;16;19;11;18;24;36;17;18;19;19;9;226;

