2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;1;2;1;0;0;1;0;1;0;1;7;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;2;1;0;0;1;0;1;0;1;7;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;1;0;0;2;0;0;0;0;3;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;2;1;0;1;0;0;0;0;1;0;0;0;5;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;29;31;28;19;23;18;24;28;33;18;25;35;311;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8;16;11;5;6;8;8;9;14;10;8;15;118;
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;1;2;1;0;1;1;2;0;1;1;12;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);4;1;5;4;1;0;3;1;1;2;2;1;25;
ESTUPRO;1;0;2;1;0;0;0;0;1;0;0;1;6;
ESTUPRO DE VULNERÁVEL;3;1;3;3;1;0;3;1;0;2;2;0;19;
TOTAL DE ROUBO - OUTROS (1);135;175;116;61;84;78;76;85;65;66;55;96;1.092;
ROUBO - OUTROS;132;173;112;60;84;78;75;84;63;66;55;94;1.076;
ROUBO DE VEÍCULO;14;7;8;8;8;9;5;3;6;2;7;10;87;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;3;2;4;1;0;0;1;1;2;0;0;2;16;
FURTO - OUTROS;142;186;127;57;72;121;144;116;127;110;83;135;1.420;
FURTO DE VEÍCULO;83;53;37;24;28;30;64;33;47;58;43;33;533;

