2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;1;0;0;1;1;3;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;1;0;0;1;1;3;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;2;0;0;0;0;0;1;4;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;1;0;0;0;0;0;1;2;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;33;22;22;28;27;21;32;30;28;24;37;26;330;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;17;8;14;6;6;8;8;5;9;10;16;6;113;
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;0;0;0;1;1;0;0;0;2;0;5;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);1;1;1;0;1;3;4;1;5;5;6;2;30;
ESTUPRO;0;0;0;0;0;0;0;0;2;1;1;0;4;
ESTUPRO DE VULNERÁVEL;1;1;1;0;1;3;4;1;3;4;5;2;26;
TOTAL DE ROUBO - OUTROS (1);158;140;120;83;95;106;124;113;128;115;145;142;1.469;
ROUBO - OUTROS;154;136;116;82;92;105;122;113;124;114;143;140;1.441;
ROUBO DE VEÍCULO;26;14;22;18;15;16;19;12;14;8;15;14;193;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;4;4;4;1;3;1;2;0;4;1;2;2;28;
FURTO - OUTROS;108;91;83;101;82;92;81;69;69;64;127;80;1.047;
FURTO DE VEÍCULO;60;42;56;34;38;47;54;59;53;32;42;32;549;

