2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;1;0;0;0;0;0;0;1;2;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;1;0;0;0;0;0;0;1;2;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;1;1;0;0;0;0;0;0;0;3;
HOMICÍDIO CULPOSO OUTROS;0;0;0;1;0;0;0;0;0;0;0;0;1;
TENTATIVA DE HOMICÍDIO;1;0;0;0;1;2;0;0;0;0;0;0;4;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;14;18;12;7;13;12;7;12;5;11;14;14;139;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;5;13;6;1;4;9;8;5;5;7;11;7;81;
LESÃO CORPORAL CULPOSA - OUTRAS;4;0;1;5;4;7;12;17;9;7;0;1;67;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);3;0;1;4;1;4;1;1;1;1;3;1;21;
ESTUPRO;2;0;0;0;0;1;0;1;0;0;0;0;4;
ESTUPRO DE VULNERÁVEL;1;0;1;4;1;3;1;0;1;1;3;1;17;
TOTAL DE ROUBO - OUTROS (1);95;90;103;73;61;56;54;60;65;51;77;64;849;
ROUBO - OUTROS;94;90;100;71;59;56;53;59;65;51;77;64;839;
ROUBO DE VEÍCULO;16;15;11;11;17;9;13;17;17;16;18;22;182;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;1;0;3;2;2;0;1;1;0;0;0;0;10;
FURTO - OUTROS;64;50;64;36;57;59;69;59;27;64;46;49;644;
FURTO DE VEÍCULO;70;63;40;42;31;32;92;64;68;57;65;46;670;

