2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;0;0;1;0;0;0;0;1;0;1;0;4;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;1;0;0;0;0;1;0;1;0;4;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;0;0;0;2;0;0;0;3;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;1;0;0;1;1;0;1;1;0;0;0;5;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;1;0;0;0;0;0;0;0;0;0;1;
LESÃO CORPORAL DOLOSA;20;29;20;19;13;17;11;27;17;11;24;21;229;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;4;6;8;4;4;5;7;3;8;6;7;1;63;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;2;0;1;0;0;3;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);3;1;0;1;1;2;0;6;0;0;1;1;16;
ESTUPRO;1;0;0;1;1;0;0;0;0;0;1;1;5;
ESTUPRO DE VULNERÁVEL;2;1;0;0;0;2;0;6;0;0;0;0;11;
TOTAL DE ROUBO - OUTROS (1);134;140;183;175;150;289;135;88;69;108;83;61;1.615;
ROUBO - OUTROS;134;139;182;173;150;288;135;87;69;107;82;61;1.607;
ROUBO DE VEÍCULO;22;20;14;14;18;10;11;5;7;11;5;8;145;
ROUBO A BANCO;0;0;0;0;0;0;0;1;0;0;0;0;1;
ROUBO DE CARGA;0;1;1;2;0;1;0;0;0;1;1;0;7;
FURTO - OUTROS;81;64;48;40;31;80;51;32;48;35;44;63;617;
FURTO DE VEÍCULO;10;9;13;5;7;5;5;10;2;2;5;9;82;

