2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;1;2;1;0;3;0;0;0;1;0;2;11;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;1;2;1;0;3;0;0;0;2;0;2;12;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;1;0;0;0;0;0;0;2;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;1;0;0;0;0;0;0;2;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;2;0;0;0;0;1;0;4;
HOMICÍDIO CULPOSO OUTROS;0;1;0;0;0;0;0;0;0;0;1;0;2;
TENTATIVA DE HOMICÍDIO;0;0;0;0;1;1;1;2;2;2;3;1;13;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;24;22;25;19;25;22;28;20;25;37;25;34;306;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;10;11;6;4;4;8;7;12;4;3;6;5;80;
LESÃO CORPORAL CULPOSA - OUTRAS;6;0;0;0;0;0;3;0;1;0;0;0;10;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);4;4;1;1;2;2;3;1;3;3;5;3;32;
ESTUPRO;0;0;1;0;1;0;0;1;2;1;0;1;7;
ESTUPRO DE VULNERÁVEL;4;4;0;1;1;2;3;0;1;2;5;2;25;
TOTAL DE ROUBO - OUTROS (1);174;182;213;154;171;184;158;170;122;141;170;184;2.023;
ROUBO - OUTROS;168;174;204;146;164;178;157;168;120;135;161;174;1.949;
ROUBO DE VEÍCULO;45;18;33;28;24;13;31;24;19;29;28;59;351;
ROUBO A BANCO;0;0;0;0;1;0;0;0;0;0;0;0;1;
ROUBO DE CARGA;6;8;9;8;6;6;1;2;2;6;9;10;73;
FURTO - OUTROS;133;120;110;94;71;94;103;104;90;111;121;148;1.299;
FURTO DE VEÍCULO;18;26;17;16;14;12;20;12;12;15;9;11;182;

