2020
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);2;0;1;2;0;2;0;0;0;0;1;1;9;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;0;1;2;0;2;0;0;0;0;1;1;9;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;1;0;0;0;0;0;1;0;0;0;3;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;2;1;0;0;0;1;0;0;0;4;
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;25;27;21;10;13;24;19;15;21;19;29;35;258;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;4;10;4;0;2;4;6;11;3;8;4;6;62;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;0;0;0;0;0;1;0;1;1;4;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
TOTAL DE ESTUPRO (4);1;2;4;2;0;1;4;3;1;2;5;4;29;
ESTUPRO;1;0;1;0;0;0;1;0;0;1;0;0;4;
ESTUPRO DE VULNERÁVEL;0;2;3;2;0;1;3;3;1;1;5;4;25;
TOTAL DE ROUBO - OUTROS (1);71;51;50;56;41;46;49;45;51;45;70;57;632;
ROUBO - OUTROS;70;49;49;55;36;45;48;44;49;43;62;52;602;
ROUBO DE VEÍCULO;11;6;6;4;3;2;7;7;2;1;8;6;63;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;1;2;1;1;5;1;1;1;2;2;8;5;30;
FURTO - OUTROS;73;55;54;26;48;73;78;58;79;42;42;65;693;
FURTO DE VEÍCULO;6;7;17;9;11;16;4;9;7;8;8;10;112;

